"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2023","AQS","540030003","1","0.04","ppm","37","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/02/2023","AQS","540030003","1","0.044","ppm","41","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/03/2023","AQS","540030003","1","0.031","ppm","29","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/04/2023","AQS","540030003","1","0.044","ppm","41","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/05/2023","AQS","540030003","1","0.047","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/06/2023","AQS","540030003","1","0.045","ppm","42","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/07/2023","AQS","540030003","1","0.045","ppm","42","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/08/2023","AQS","540030003","1","0.043","ppm","40","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/09/2023","AQS","540030003","1","0.041","ppm","38","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/10/2023","AQS","540030003","1","0.035","ppm","32","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/11/2023","AQS","540030003","1","0.039","ppm","36","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/12/2023","AQS","540030003","1","0.031","ppm","29","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/13/2023","AQS","540030003","1","0.038","ppm","35","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/14/2023","AQS","540030003","1","0.039","ppm","36","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/15/2023","AQS","540030003","1","0.048","ppm","44","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/16/2023","AQS","540030003","1","0.049","ppm","45","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/17/2023","AQS","540030003","1","0.041","ppm","38","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/18/2023","AQS","540030003","1","0.046","ppm","43","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/19/2023","AQS","540030003","1","0.042","ppm","39","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/20/2023","AQS","540030003","1","0.046","ppm","43","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/21/2023","AQS","540030003","1","0.046","ppm","43","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/22/2023","AQS","540030003","1","0.051","ppm","47","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/23/2023","AQS","540030003","1","0.033","ppm","31","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/24/2023","AQS","540030003","1","0.034","ppm","31","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
