Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Year
2021-03-01,AQS,540030003,1,0.038,ppm,35,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-02,AQS,540030003,1,0.042,ppm,39,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-03,AQS,540030003,1,0.042,ppm,39,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-04,AQS,540030003,1,0.039,ppm,36,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-05,AQS,540030003,1,0.04,ppm,37,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-06,AQS,540030003,1,0.041,ppm,38,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-07,AQS,540030003,1,0.043,ppm,40,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-08,AQS,540030003,1,0.044,ppm,41,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-09,AQS,540030003,1,0.054,ppm,50,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-03-10,AQS,540030003,1,0.054,ppm,50,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
