Date,Source,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2021,AQS,540090011,1,7,ug/m3 SC,6,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/02/2021,AQS,540090011,1,5,ug/m3 SC,5,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/03/2021,AQS,540090011,1,7,ug/m3 SC,6,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/04/2021,AQS,540090011,1,7,ug/m3 SC,6,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/05/2021,AQS,540090011,1,11,ug/m3 SC,10,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/06/2021,AQS,540090011,1,9,ug/m3 SC,8,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/07/2021,AQS,540090011,1,8,ug/m3 SC,7,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/08/2021,AQS,540090011,1,9,ug/m3 SC,8,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/09/2021,AQS,540090011,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/10/2021,AQS,540090011,1,24,ug/m3 SC,22,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/11/2021,AQS,540090011,1,26,ug/m3 SC,24,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/12/2021,AQS,540090011,1,19,ug/m3 SC,18,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/13/2021,AQS,540090011,1,17,ug/m3 SC,16,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/14/2021,AQS,540090011,1,15,ug/m3 SC,14,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/15/2021,AQS,540090011,1,11,ug/m3 SC,10,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/16/2021,AQS,540090011,1,10,ug/m3 SC,9,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/17/2021,AQS,540090011,1,5,ug/m3 SC,5,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/18/2021,AQS,540090011,1,5,ug/m3 SC,5,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/19/2021,AQS,540090011,1,9,ug/m3 SC,8,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/20/2021,AQS,540090011,1,10,ug/m3 SC,9,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/21/2021,AQS,540090011,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/22/2021,AQS,540090011,1,9,ug/m3 SC,8,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/23/2021,AQS,540090011,1,10,ug/m3 SC,9,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
01/24/2021,AQS,540090011,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.39465097,-80.61181276
