Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Year
2021-01-01,AQS,540030003,1,16.6,ug/m3 LC,65,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-04,AQS,540030003,1,8.7,ug/m3 LC,48,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-07,AQS,540030003,1,3.7,ug/m3 LC,21,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-10,AQS,540030003,1,9.7,ug/m3 LC,52,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-13,AQS,540030003,1,12.1,ug/m3 LC,57,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-16,AQS,540030003,1,4.1,ug/m3 LC,23,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-19,AQS,540030003,1,3.8,ug/m3 LC,21,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-22,AQS,540030003,1,3.6,ug/m3 LC,20,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-25,AQS,540030003,1,15.6,ug/m3 LC,63,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-01-31,AQS,540030003,1,11.5,ug/m3 LC,55,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-02-03,AQS,540030003,1,3.3,ug/m3 LC,18,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
