Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Year
2021-01-01,AQS,540090005,1,2.0,ppb,3,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-02,AQS,540090005,1,8.0,ppb,11,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-03,AQS,540090005,1,9.0,ppb,13,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-04,AQS,540090005,1,5.0,ppb,7,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-05,AQS,540090005,1,4.0,ppb,6,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-06,AQS,540090005,1,4.0,ppb,6,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-20,AQS,540090005,1,7.0,ppb,10,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-21,AQS,540090005,1,11.0,ppb,16,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-22,AQS,540090005,1,12.0,ppb,17,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-23,AQS,540090005,1,5.0,ppb,7,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-24,AQS,540090005,1,5.0,ppb,7,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-25,AQS,540090005,1,3.0,ppb,4,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-26,AQS,540090005,1,15.0,ppb,21,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-27,AQS,540090005,1,6.0,ppb,9,Unknown,21,88.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-28,AQS,540090005,1,8.0,ppb,11,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-29,AQS,540090005,1,12.0,ppb,17,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-30,AQS,540090005,1,3.0,ppb,4,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-01-31,AQS,540090005,1,5.0,ppb,7,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
2021-02-01,AQS,540090005,1,3.0,ppb,4,Unknown,24,100.0,42401,Sulfur dioxide,100,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,9,Brooke,40.3410227904978,-80.5966352305208,2021
