"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Distance to Parks"
"01","Alabama","01001","Autauga","2010","17.9%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01001","Autauga","2010","40.9%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01001","Autauga","2015","3.6%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01001","Autauga","2015","9.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01001","Autauga","2020","26.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01001","Autauga","2020","51.2%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01003","Baldwin","2010","5.0%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01003","Baldwin","2010","10.0%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01003","Baldwin","2015","12.8%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01003","Baldwin","2015","26.5%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01003","Baldwin","2020","18.2%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01003","Baldwin","2020","35.0%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01005","Barbour","2010","3.0%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01005","Barbour","2010","7.4%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01005","Barbour","2015","21.8%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01005","Barbour","2015","29.6%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01005","Barbour","2020","22.0%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01005","Barbour","2020","30.2%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01007","Bibb","2010","0.6%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01007","Bibb","2010","1.3%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01007","Bibb","2015","29.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01007","Bibb","2015","34.6%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01007","Bibb","2020","25.8%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01007","Bibb","2020","38.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01009","Blount","2010","0.8%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01009","Blount","2010","2.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01009","Blount","2015","1.2%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01009","Blount","2015","2.8%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01009","Blount","2020","1.9%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01009","Blount","2020","4.9%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01011","Bullock","2010","0.1%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01011","Bullock","2010","0.3%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01011","Bullock","2015","0.6%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01011","Bullock","2015","1.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01011","Bullock","2020","0.7%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01011","Bullock","2020","2.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01013","Butler","2010","1.9%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01013","Butler","2010","8.0%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01013","Butler","2015","0.9%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01013","Butler","2015","5.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01013","Butler","2020","4.6%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01013","Butler","2020","10.4%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01015","Calhoun","2010","12.2%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01015","Calhoun","2010","24.5%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01015","Calhoun","2015","18.7%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01015","Calhoun","2015","32.0%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01015","Calhoun","2020","28.6%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01015","Calhoun","2020","53.8%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01017","Chambers","2010","1.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01017","Chambers","2010","2.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01017","Chambers","2015","3.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01017","Chambers","2015","6.7%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01017","Chambers","2020","11.0%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01017","Chambers","2020","21.9%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01019","Cherokee","2010","2.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01019","Cherokee","2010","5.3%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01019","Cherokee","2015","5.5%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01019","Cherokee","2015","9.7%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01019","Cherokee","2020","7.8%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01019","Cherokee","2020","15.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01021","Chilton","2010","0.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01021","Chilton","2010","0.6%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01021","Chilton","2015","3.1%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01021","Chilton","2015","4.1%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01021","Chilton","2020","6.2%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01021","Chilton","2020","10.7%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01023","Choctaw","2010","0.7%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01023","Choctaw","2010","1.9%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01023","Choctaw","2015","0.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01023","Choctaw","2015","0.7%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01023","Choctaw","2020","0.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01023","Choctaw","2020","0.7%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01025","Clarke","2010","0.3%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01025","Clarke","2010","1.0%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01025","Clarke","2015","1.2%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01025","Clarke","2015","2.5%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01025","Clarke","2020","3.0%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01025","Clarke","2020","7.7%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01027","Clay","2010","1.6%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01027","Clay","2010","3.7%","",,"Distance to Parks: 1 Mile"
"01","Alabama","01027","Clay","2015","43.9%","",,"Distance to Parks: 1/2 Mile"
"01","Alabama","01027","Clay","2015","48.5%","",,"Distance to Parks: 1 Mile"
