"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2018","59,338","",
"01","Alabama","01001","Autauga","2019","58,233","",
"01","Alabama","01001","Autauga","2020","67,565","",
"01","Alabama","01003","Baldwin","2018","57,588","",
"01","Alabama","01003","Baldwin","2019","59,871","",
"01","Alabama","01003","Baldwin","2020","71,135","",
"01","Alabama","01005","Barbour","2018","34,382","",
"01","Alabama","01005","Barbour","2019","35,972","",
"01","Alabama","01005","Barbour","2020","38,866","",
"01","Alabama","01007","Bibb","2018","46,064","",
"01","Alabama","01007","Bibb","2019","47,918","",
"01","Alabama","01007","Bibb","2020","50,907","",
"01","Alabama","01009","Blount","2018","50,412","",
"01","Alabama","01009","Blount","2019","52,902","",
"01","Alabama","01009","Blount","2020","55,203","",
"01","Alabama","01011","Bullock","2018","29,267","",
"01","Alabama","01011","Bullock","2019","31,906","",
"01","Alabama","01011","Bullock","2020","33,124","",
"01","Alabama","01013","Butler","2018","37,365","",
"01","Alabama","01013","Butler","2019","39,944","",
"01","Alabama","01013","Butler","2020","42,268","",
"01","Alabama","01015","Calhoun","2018","45,400","",
"01","Alabama","01015","Calhoun","2019","47,747","",
"01","Alabama","01015","Calhoun","2020","50,259","",
"01","Alabama","01017","Chambers","2018","39,917","",
"01","Alabama","01017","Chambers","2019","42,015","",
"01","Alabama","01017","Chambers","2020","39,318","",
"01","Alabama","01019","Cherokee","2018","42,132","",
"01","Alabama","01019","Cherokee","2019","45,982","",
"01","Alabama","01019","Cherokee","2020","50,388","",
"01","Alabama","01021","Chilton","2018","47,547","",
"01","Alabama","01021","Chilton","2019","49,692","",
"01","Alabama","01021","Chilton","2020","52,693","",
"01","Alabama","01023","Choctaw","2018","39,907","",
"01","Alabama","01023","Choctaw","2019","39,808","",
"01","Alabama","01023","Choctaw","2020","41,649","",
"01","Alabama","01025","Clarke","2018","40,741","",
"01","Alabama","01025","Clarke","2019","43,822","",
"01","Alabama","01025","Clarke","2020","44,178","",
"01","Alabama","01027","Clay","2018","39,201","",
"01","Alabama","01027","Clay","2019","40,562","",
"01","Alabama","01027","Clay","2020","44,763","",
"01","Alabama","01029","Cleburne","2018","46,495","",
"01","Alabama","01029","Cleburne","2019","51,276","",
"01","Alabama","01029","Cleburne","2020","50,134","",
"01","Alabama","01031","Coffee","2018","55,122","",
"01","Alabama","01031","Coffee","2019","57,299","",
"01","Alabama","01031","Coffee","2020","54,203","",
"01","Alabama","01033","Colbert","2018","49,055","",
"01","Alabama","01033","Colbert","2019","46,683","",
"01","Alabama","01033","Colbert","2020","54,185","",
"01","Alabama","01035","Conecuh","2018","32,613","",
"01","Alabama","01035","Conecuh","2019","41,539","",
"01","Alabama","01035","Conecuh","2020","34,664","",
"01","Alabama","01037","Coosa","2018","42,423","",
"01","Alabama","01037","Coosa","2019","42,024","",
"01","Alabama","01037","Coosa","2020","46,509","",
"01","Alabama","01039","Covington","2018","40,203","",
"01","Alabama","01039","Covington","2019","44,836","",
"01","Alabama","01039","Covington","2020","43,544","",
"01","Alabama","01041","Crenshaw","2018","39,057","",
"01","Alabama","01041","Crenshaw","2019","43,309","",
"01","Alabama","01041","Crenshaw","2020","45,927","",
"01","Alabama","01043","Cullman","2018","45,796","",
"01","Alabama","01043","Cullman","2019","50,897","",
"01","Alabama","01043","Cullman","2020","51,844","",
"01","Alabama","01045","Dale","2018","45,309","",
"01","Alabama","01045","Dale","2019","45,120","",
