State,County,age_adjusted_trend,crude_trend,latest_age_adjusted,latest_crude,rank
South Dakota,Todd,0.4300000000000258,0.3600000000000278,13.7,12.7,20.0
Kentucky,Wolfe,0.32000000000005,0.46000000000005103,15.8,18.9,34.0
Florida,Hamilton,0.20000000000008505,0.30000000000007365,11.1,12.5,135.5
Missouri,Oregon,0.1900000000000019,0.2999999999999923,11.3,14.4,135.5
South Dakota,Shannon,0.1500000000000161,0.1800000000000267,13.0,12.0,156.0
South Dakota,Mellette,0.160000000000007,0.2800000000000112,11.3,12.8,171.5
South Dakota,Jackson,0.2100000000000137,0.36000000000002225,10.6,11.7,175.0
Kentucky,Jackson,0.13000000000004824,0.2500000000000456,13.6,15.9,183.5
Missouri,Knox,0.3799999999999959,0.489999999999995,10.1,12.7,189.0
Texas,King,1.3299999999999599,1.7099999999999627,9.9,12.3,202.5
Texas,Newton,0.369999999999997,0.5400000000000034,10.0,12.2,212.0
Texas,San Augustine,0.3300000000000333,0.4900000000000479,10.0,13.4,215.0
Arkansas,Lafayette,0.20999999999996963,0.41999999999995913,10.0,13.0,265.0
Texas,Jasper,0.4000000000000241,0.6000000000000385,9.6,11.8,290.5
South Dakota,Dewey,0.22999999999999607,0.3099999999999986,9.8,10.1,290.5
Texas,Foard,0.6400000000000704,1.010000000000098,9.5,13.0,297.0
Missouri,Clark,0.2500000000000007,0.39999999999999203,9.7,12.1,306.0
Tennessee,Sequatchie,0.1300000000000029,0.32000000000000534,10.4,12.9,307.5
Texas,Cochran,0.3700000000000734,0.4200000000001106,9.5,10.8,313.5
Georgia,Treutlen,0.1499999999999701,0.2099999999999668,10.1,11.6,315.0
Louisiana,Claiborne,0.09000000000002478,0.2000000000000222,10.9,12.6,338.0
Missouri,Lewis,0.22000000000000433,0.3000000000000078,9.5,10.9,359.0
Texas,Wilbarger,0.4000000000000382,0.5400000000000567,9.3,10.8,359.5
Missouri,Cedar,0.12000000000001229,0.16000000000000666,10.1,12.7,365.0
Mississippi,Tunica,0.3700000000000734,0.44000000000007816,9.3,9.9,366.0
Texas,Swisher,0.29000000000006965,0.35000000000009973,9.2,10.2,406.5
Louisiana,East Carroll,0.04000000000010056,0.15000000000009853,13.7,14.8,419.0
Missouri,Stoddard,0.10000000000000026,0.20999999999999877,9.9,11.9,457.5
Arkansas,Chicot,0.09999999999999303,0.26999999999999,9.9,12.3,458.5
Texas,Presidio,0.2300000000000264,0.3200000000000206,9.1,11.1,461.0
Texas,Dallam,0.7100000000000913,0.7800000000001095,8.9,9.2,477.5
Missouri,Howell,0.08000000000001124,0.130000000000012,10.1,12.0,481.0
Florida,Bradford,0.050000000000022644,0.1500000000000221,10.4,11.8,512.5
Texas,Tyler,0.2600000000000063,0.44000000000002537,8.9,10.9,519.5
Kentucky,Lewis,0.020000000000027357,0.16000000000003503,13.5,16.2,521.0
Texas,Dimmit,0.4800000000000492,0.530000000000057,8.8,9.8,522.0
Missouri,Mercer,0.24000000000002486,0.4000000000000386,8.9,11.4,528.5
Ohio,Meigs,0.03999999999997845,0.12999999999998033,10.7,13.1,536.5
Missouri,Barton,0.08000000000001876,0.1600000000000209,9.8,12.0,537.5
Arkansas,St. Francis,0.09000000000000895,0.1400000000000171,9.7,10.7,538.0
Ohio,Pike,0.03999999999994105,0.11999999999993524,10.7,12.6,539.5
Georgia,Lanier,0.1100000000000136,0.19000000000001588,9.4,10.2,542.5
Florida,Calhoun,0.04999999999998327,0.14999999999999292,10.3,11.9,546.5
Missouri,Shelby,0.1400000000000015,0.29000000000000287,9.1,11.5,566.0
Missouri,McDonald,0.030000000000018307,0.1500000000000298,10.6,12.2,574.5
Texas,Briscoe,0.35000000000003073,0.63000000000005,8.7,11.4,585.5
Maine,Washington,0.14999999999994704,0.3299999999999344,9.0,11.8,586.5
Arkansas,Stone,0.03999999999999322,0.16999999999999715,10.2,13.8,593.0
Missouri,Caldwell,0.09000000000000959,0.21000000000002084,9.4,11.5,595.5
Tennessee,Hancock,0.009999999999991498,0.11999999999998223,12.4,15.3,598.5
Missouri,Gentry,0.11000000000002876,0.22000000000002826,9.1,11.0,623.0
Missouri,Dallas,0.050000000000007254,0.08000000000000299,9.8,12.0,627.5
Montana,Liberty,0.2799999999999578,0.4799999999999502,8.6,10.7,638.0
Alabama,Bullock,0.040000000000039906,0.1800000000000564,9.8,11.1,641.5
Louisiana,Concordia,9.168427290131244e-14,0.09000000000009988,11.0,12.6,646.0
Texas,Terry,0.2500000000000538,0.3000000000000845,8.6,9.3,646.0
Missouri,Audrain,0.08000000000000307,0.17000000000000473,9.3,10.8,660.5
Florida,Washington,1.9247615304285408e-14,0.050000000000003535,11.0,12.5,665.0
Indiana,Parke,0.04000000000003947,0.1500000000000377,9.7,11.6,669.0
Texas,Wheeler,0.2800000000000335,0.4600000000000586,8.5,10.6,677.0
Texas,Hudspeth,0.16000000000005918,0.2100000000000604,8.7,8.8,677.5
Missouri,Hickory,0.030000000000018505,0.1600000000000135,9.9,14.2,677.5
Texas,Dawson,0.15000000000006014,0.15000000000008382,8.7,9.0,684.5
Pennsylvania,Cameron,0.25999999999999146,0.47999999999998794,8.5,11.8,686.0
Texas,Collingsworth,0.25000000000003836,0.48000000000008697,8.5,10.5,688.0
Missouri,Ozark,-3.086580440372903e-14,0.059999999999951904,11.0,15.1,689.0
Florida,Lafayette,-7.013036610510139e-14,0.19999999999993504,11.0,12.1,691.0
Texas,Angelina,0.17000000000002738,0.28000000000005654,8.6,9.8,707.0
Texas,Cass,0.12000000000000471,0.19000000000000222,8.8,11.0,715.0
Ohio,Ashtabula,0.019999999999959436,0.11999999999995144,10.0,12.0,718.0
Texas,Houston,0.050000000000023026,0.1500000000000452,9.3,11.6,730.5
Virginia,Radford,0.09999999999997758,0.0699999999999898,8.9,6.7,730.5
Missouri,St. Francois,0.05000000000001544,0.10000000000002289,9.3,10.4,734.5
Texas,Falls,0.09000000000002578,0.17000000000005028,8.9,10.2,740.5
Missouri,Vernon,0.04999999999999986,0.1299999999999958,9.3,11.1,747.5
Texas,Upshur,0.23000000000001825,0.29000000000003295,8.4,10.0,749.5
Georgia,Baker,0.12000000000001161,0.32000000000002027,8.7,11.3,757.5
Texas,Live Oak,0.41000000000005193,0.6300000000000722,8.3,10.1,759.0
Arkansas,Searcy,0.009999999999968166,0.16999999999995927,10.0,13.2,767.0
Virginia,Lee,-0.010000000000021596,0.1399999999999781,10.5,13.0,786.0
Texas,Potter,0.17000000000004312,0.31000000000006767,8.4,8.9,796.5
South Carolina,Marion,0.07999999999998846,0.18999999999998585,8.9,10.9,796.5
Louisiana,Webster,-0.01999999999996788,0.09000000000003933,10.4,12.5,811.5
Maine,Somerset,0.039999999999924776,0.1499999999999164,9.2,11.6,824.5
Mississippi,Franklin,0.06000000000005196,0.1400000000000555,8.9,10.9,824.5
Texas,Jack,0.11000000000002101,0.19000000000005382,8.6,9.7,825.0
Florida,Glades,-2.037511728211715e-14,0.24999999999995975,9.9,13.1,827.5
Missouri,Lawrence,0.020000000000019516,0.040000000000031156,9.4,11.1,828.5
Missouri,Atchison,0.19000000000001716,0.27000000000002056,8.3,10.8,833.0
West Virginia,Calhoun,-0.04999999999991662,0.08000000000009384,12.4,16.2,834.5
Indiana,Blackford,0.010000000000021334,0.05000000000002251,9.5,11.7,837.0
Oklahoma,Seminole,-2.244271809690804e-14,0.03999999999998002,9.8,11.3,853.5
Missouri,Jasper,0.08000000000002545,0.1000000000000376,8.7,9.5,863.5
Idaho,Butte,0.5500000000000156,0.7600000000000284,8.1,10.7,864.5
West Virginia,Pocahontas,-0.04999999999993206,0.1300000000000783,11.1,14.6,866.5
New Mexico,Catron,0.43000000000004135,0.7900000000000631,8.1,12.9,867.5
Kentucky,Magoffin,-0.050000000000007386,0.07999999999999519,13.4,15.9,868.0
Nevada,Eureka,0.4100000000000376,0.6400000000000557,8.1,10.0,872.5
Minnesota,Mahnomen,0.10999999999998396,0.12999999999998832,8.5,10.0,877.0
Texas,Real,0.09000000000001596,0.330000000000048,8.6,12.4,877.0
Virginia,Hopewell,0.03999999999997943,0.0999999999999923,9.0,10.0,885.5
Texas,Nolan,0.2600000000000597,0.3600000000000821,8.1,9.5,899.5
Mississippi,Montgomery,0.020000000000035385,0.10000000000003792,9.1,11.4,906.0
Missouri,Pike,0.03999999999999399,0.1699999999999967,8.9,10.4,911.5
Missouri,Bates,0.030000000000018307,0.11000000000002153,9.0,10.9,915.0
Montana,Prairie,0.6599999999999915,1.1199999999999832,8.0,11.7,925.0
Texas,Edwards,0.4400000000000318,0.7800000000000725,8.0,11.4,929.0
Texas,Liberty,0.08000000000003267,0.09000000000005483,8.5,8.8,941.0
Texas,Shelby,0.010000000000029234,0.13000000000004902,9.1,10.7,942.0
Texas,Trinity,0.050000000000014956,0.12000000000002826,8.7,11.7,953.5
Texas,Walker,0.1800000000000328,0.2100000000000514,8.1,7.8,955.5
Virginia,Covington,0.06000000000001396,0.09000000000001632,8.6,10.3,964.0
Texas,Polk,0.09000000000001628,0.22000000000004263,8.4,10.3,966.5
Missouri,Pemiscot,-0.0599999999999978,0.030000000000003243,10.9,12.8,971.5
Colorado,Crowley,0.23000000000005644,0.2800000000000796,8.0,7.8,976.0
Ohio,Brown,0.009999999999975232,0.08999999999997188,9.1,10.9,983.0
Alabama,Escambia,-0.029999999999988636,0.020000000000011668,9.8,11.3,984.5
Ohio,Hocking,0.009999999999953098,0.11999999999994324,9.1,11.1,986.0
Texas,Hamilton,0.08000000000004091,0.1800000000000573,8.4,10.9,986.5
Iowa,Van Buren,0.40000000000003055,0.5200000000000431,7.9,10.0,997.5
Missouri,Butler,-0.05000000000000054,0.020000000000003775,10.2,12.1,1000.0
