State,age_adjusted_trend,crude_trend
South Dakota,0.10606060606061553,0.19484848484849807
Colorado,0.08296875000002915,0.16140625000004222
Iowa,0.07797979797982224,0.1489898989899301
Minnesota,0.05298850574711923,0.11908045977010849
Utah,0.04103448275863143,0.08965517241380992
Texas,-0.002992125984219336,0.07318897637800341
Massachusetts,-0.004285714285695208,0.05714285714288322
Maine,-0.008125000000048706,0.06249999999994262
Montana,-0.021428571428578565,0.04428571428570484
California,-0.03689655172411221,0.025862068965558763
Idaho,-0.04477272727269892,0.014318181818223837
Washington,-0.04820512820512028,0.01743589743591582
Connecticut,-0.05999999999997854,-0.018749999999969687
Wyoming,-0.0643478260869469,0.003913043478276278
New Mexico,-0.06818181818176018,0.008787878787960196
North Dakota,-0.09660377358489915,-0.042264150943387105
Wisconsin,-0.11944444444443095,-0.07597222222220486
Kansas,-0.12552380952377606,-0.08219047619043218
Pennsylvania,-0.12835820895522365,-0.07343283582089341
Missouri,-0.1294782608695603,-0.07617391304347154
Nebraska,-0.13978494623653012,-0.11053763440856251
Ohio,-0.15284090909093584,-0.10556818181821126
Nevada,-0.1558823529411418,-0.0776470588234748
Hawaii,-0.163999999999986,-0.11799999999997815
Vermont,-0.16571428571430366,-0.14428571428573497
Virginia,-0.17481203007519008,-0.13819548872180457
Alaska,-0.18645161290319917,-0.11032258064513097
New Jersey,-0.18775510204080947,-0.17653061224488953
Arizona,-0.20399999999998047,-0.11266666666663049
South Carolina,-0.20456521739131253,-0.14760869565218024
Arkansas,-0.2056000000000078,-0.15960000000000574
Oregon,-0.2077777777777189,-0.18194444444436594
Oklahoma,-0.20948051948052981,-0.16974025974026327
Florida,-0.2126865671642196,-0.11417910447765854
New Hampshire,-0.24799999999995387,-0.22899999999994364
New York,-0.2551612903225633,-0.21274193548384723
Illinois,-0.26205882352938287,-0.23950980392153318
Louisiana,-0.2695312499999455,-0.21296874999993812
Indiana,-0.2971739130434551,-0.2773913043477972
Maryland,-0.3137499999999925,-0.3029166666666532
Alabama,-0.3228358208955243,-0.2873134328358205
Delaware,-0.3333333333333644,-0.27666666666669354
District of Columbia,-0.3399999999999713,-0.2699999999999672
Mississippi,-0.351707317073128,-0.30451219512190214
West Virginia,-0.3638181818181201,-0.32509090909083904
Rhode Island,-0.36600000000002997,-0.35600000000003024
North Carolina,-0.36819999999998954,-0.3461999999999818
Tennessee,-0.37894736842105303,-0.36252631578947114
Georgia,-0.3918238993710751,-0.3727672955974851
Michigan,-0.42771084337349363,-0.4333734939759032
Kentucky,-0.44358333333331423,-0.42333333333331136
