County,AQI_records_18,Good_18,Moderate_18,Unhealthy_sens_18,Unhealthy_18,Very_unhealthy_18,Hazardous_18,Max_AQI_18,90th_Percentile_AQI_18,Median_AQI_18,CO_18,NO2_18,O3_18,PM2.5_18,PM10_18
Baldwin,270,232,38,0,0,0,0,97,54,37,0,0,194,76,0
Clay,110,86,24,0,0,0,0,68,54,36,0,0,0,110,0
Colbert,277,235,42,0,0,0,0,93,54,37,0,0,184,93,0
DeKalb,350,302,48,0,0,0,0,84,54,36,0,0,286,64,0
Elmore,222,203,19,0,0,0,0,71,49,33,0,0,222,0,0
Etowah,324,169,154,0,1,0,0,154,65,48,0,0,120,204,0
Houston,277,230,47,0,0,0,0,80,54,37,0,0,191,86,0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2
Lawrence,118,99,19,0,0,0,0,66,54,31,0,0,0,118,0
Madison,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1
Mobile,359,218,140,1,0,0,0,105,61,44,0,0,103,256,0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0
Morgan,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0
Russell,364,199,165,0,0,0,0,99,64,48,0,0,66,298,0
Shelby,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0
Sumter,357,327,30,0,0,0,0,77,48,31,0,0,202,155,0
Tuscaloosa,320,223,96,1,0,0,0,115,60,42,0,0,165,155,0
Aleutians East ,120,120,0,0,0,0,0,46,28,13,0,0,0,120,0
Anchorage ,365,288,77,0,0,0,0,87,60,30,0,0,0,288,77
Bethel ,202,194,8,0,0,0,0,77,37,19,0,0,0,157,45
Denali ,364,361,3,0,0,0,0,58,44,35,0,0,363,1,0
Fairbanks North Star ,365,215,111,29,10,0,0,158,103,40,0,9,90,264,2
Juneau ,352,268,84,0,0,0,0,85,59,31,0,0,0,349,3
Kenai Peninsula ,120,120,0,0,0,0,0,36,21,10,0,0,0,120,0
Matanuska-Susitna ,365,308,53,3,1,0,0,151,58,29,0,0,182,165,18
Apache,358,354,4,0,0,0,0,58,27,13,0,0,0,58,300
Cochise,365,266,99,0,0,0,0,90,63,45,0,0,293,50,22
Coconino,365,236,126,3,0,0,0,126,77,45,0,0,351,14,0
Gila,365,220,122,22,1,0,0,171,87,47,0,0,328,2,35
La Paz,364,257,104,3,0,0,0,105,71,44,0,0,335,24,5
Maricopa,365,49,252,57,4,3,0,274,115,71,0,6,178,85,96
Mohave,363,349,13,1,0,0,0,105,35,18,0,0,0,54,309
Navajo,363,260,101,2,0,0,0,115,74,44,0,0,353,3,7
Pima,365,164,190,11,0,0,0,129,84,52,0,0,224,79,62
Pinal,365,71,243,34,6,3,8,1051,108,67,0,0,120,53,192
Santa Cruz,365,252,111,1,1,0,0,194,63,39,0,0,0,316,49
Yavapai,365,289,75,1,0,0,0,101,61,44,0,0,362,3,0
Yuma,365,202,147,15,1,0,0,169,80,49,0,0,178,129,58
Arkansas,118,79,39,0,0,0,0,91,59,43,0,0,0,118,0
Ashley,121,82,38,1,0,0,0,103,58,39,0,0,0,121,0
Clark,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0
Craighead,90,54,36,0,0,0,0,75,61,46,0,0,0,90,0
Crittenden,365,206,156,3,0,0,0,115,61,47,0,2,87,276,0
Garland,121,77,44,0,0,0,0,88,59,42,0,0,0,121,0
Jackson,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0
Newton,364,326,38,0,0,0,0,84,51,36,0,0,331,33,0
Polk,363,293,70,0,0,0,0,93,57,40,0,0,287,76,0
Pulaski,365,164,199,2,0,0,0,122,66,52,0,1,86,278,0
Union,365,189,173,3,0,0,0,122,63,49,0,0,0,365,0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0
Alameda,365,77,271,5,9,3,0,248,79,57,0,1,22,342,0
Amador,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0
Butte,365,97,228,22,10,3,5,682,104,59,0,0,148,216,1
Calaveras,364,52,292,14,6,0,0,160,87,58,0,0,71,293,0
