County,AQI_records_18,Good_18,Moderate_18,Unhealthy_sens_18,Unhealthy_18,Very_unhealthy_18,Hazardous_18,Max_AQI_18,90th_Percentile_AQI_18,Median_AQI_18,CO_18,NO2_18,O3_18,PM2.5_18,PM10_18,AQI_records_19,Good_19,Moderate_19,Unhealthy_sens_19,Unhealthy_19,Very_unhealthy_19,Hazardous_19,Max_AQI_19,90th_Percentile_AQI_19,Median_AQI_19,CO_19,NO2_19,O3_19,PM2.5_19,PM10_19
Baldwin,270,232,38,0,0,0,0,97,54,37,0,0,194,76,0,271.0,221.0,50.0,0.0,0.0,0.0,0.0,80.0,55.0,40.0,0.0,0.0,198.0,73.0,0.0
Clay,110,86,24,0,0,0,0,68,54,36,0,0,0,110,0,107.0,75.0,32.0,0.0,0.0,0.0,0.0,71.0,56.0,41.0,0.0,0.0,0.0,107.0,0.0
Clay,110,86,24,0,0,0,0,68,54,36,0,0,0,110,0,365.0,266.0,99.0,0.0,0.0,0.0,0.0,90.0,61.0,43.0,0.0,0.0,203.0,162.0,0.0
Colbert,277,235,42,0,0,0,0,93,54,37,0,0,184,93,0,263.0,238.0,25.0,0.0,0.0,0.0,0.0,65.0,50.0,38.0,0.0,0.0,219.0,44.0,0.0
DeKalb,350,302,48,0,0,0,0,84,54,36,0,0,286,64,0,361.0,303.0,58.0,0.0,0.0,0.0,0.0,90.0,54.0,39.0,0.0,0.0,306.0,55.0,0.0
DeKalb,350,302,48,0,0,0,0,84,54,36,0,0,286,64,0,365.0,173.0,188.0,3.0,1.0,0.0,0.0,159.0,67.0,52.0,0.0,20.0,94.0,251.0,0.0
DeKalb,350,302,48,0,0,0,0,84,54,36,0,0,286,64,0,363.0,335.0,28.0,0.0,0.0,0.0,0.0,80.0,49.0,37.0,0.0,0.0,363.0,0.0,0.0
Elmore,222,203,19,0,0,0,0,71,49,33,0,0,222,0,0,228.0,208.0,20.0,0.0,0.0,0.0,0.0,100.0,50.0,39.0,0.0,0.0,228.0,0.0,0.0
Etowah,324,169,154,0,1,0,0,154,65,48,0,0,120,204,0,279.0,201.0,78.0,0.0,0.0,0.0,0.0,90.0,58.0,44.0,0.0,0.0,201.0,78.0,0.0
Houston,277,230,47,0,0,0,0,80,54,37,0,0,191,86,0,280.0,230.0,50.0,0.0,0.0,0.0,0.0,77.0,55.0,38.0,0.0,0.0,181.0,99.0,0.0
Houston,277,230,47,0,0,0,0,80,54,37,0,0,191,86,0,354.0,173.0,179.0,1.0,1.0,0.0,0.0,153.0,65.0,51.0,0.0,0.0,0.0,354.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,365.0,85.0,267.0,13.0,0.0,0.0,0.0,150.0,80.0,58.0,0.0,0.0,75.0,289.0,1.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,365.0,238.0,111.0,16.0,0.0,0.0,0.0,129.0,87.0,46.0,0.0,2.0,363.0,0.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,365.0,124.0,239.0,2.0,0.0,0.0,0.0,136.0,71.0,54.0,0.0,1.0,99.0,265.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,365.0,269.0,96.0,0.0,0.0,0.0,0.0,84.0,58.0,42.0,0.0,2.0,204.0,159.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,361.0,252.0,107.0,2.0,0.0,0.0,0.0,105.0,62.0,42.0,0.0,0.0,182.0,167.0,12.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,205.0,198.0,7.0,0.0,0.0,0.0,0.0,64.0,46.0,35.0,0.0,0.0,205.0,0.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,364.0,143.0,219.0,2.0,0.0,0.0,0.0,123.0,66.0,53.0,0.0,0.0,47.0,317.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,365.0,261.0,102.0,2.0,0.0,0.0,0.0,122.0,66.0,29.0,0.0,0.0,0.0,365.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,234.0,197.0,37.0,0.0,0.0,0.0,0.0,93.0,58.0,44.0,0.0,0.0,234.0,0.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,365.0,194.0,165.0,6.0,0.0,0.0,0.0,150.0,67.0,49.0,0.0,0.0,142.0,223.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,365.0,344.0,21.0,0.0,0.0,0.0,0.0,57.0,42.0,26.0,0.0,0.0,0.0,365.0,0.0
Jefferson,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2,203.0,191.0,12.0,0.0,0.0,0.0,0.0,100.0,48.0,37.0,0.0,0.0,203.0,0.0,0.0
Lawrence,118,99,19,0,0,0,0,66,54,31,0,0,0,118,0,112.0,98.0,14.0,0.0,0.0,0.0,0.0,58.0,51.0,32.0,0.0,0.0,0.0,112.0,0.0
Lawrence,118,99,19,0,0,0,0,66,54,31,0,0,0,118,0,365.0,263.0,102.0,0.0,0.0,0.0,0.0,77.0,55.0,43.0,0.0,0.0,131.0,234.0,0.0
Lawrence,118,99,19,0,0,0,0,66,54,31,0,0,0,118,0,361.0,356.0,5.0,0.0,0.0,0.0,0.0,74.0,43.0,31.0,0.0,0.0,361.0,0.0,0.0
Lawrence,118,99,19,0,0,0,0,66,54,31,0,0,0,118,0,330.0,244.0,86.0,0.0,0.0,0.0,0.0,66.0,55.0,36.0,0.0,0.0,0.0,330.0,0.0
Madison,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1,361.0,189.0,172.0,0.0,0.0,0.0,0.0,93.0,62.0,49.0,0.0,0.0,99.0,255.0,7.0
Madison,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1,363.0,140.0,220.0,1.0,2.0,0.0,0.0,156.0,73.0,55.0,0.0,0.0,144.0,217.0,2.0
Madison,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1,365.0,216.0,148.0,1.0,0.0,0.0,0.0,101.0,61.0,47.0,0.0,0.0,148.0,217.0,0.0
Madison,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1,245.0,209.0,36.0,0.0,0.0,0.0,0.0,93.0,54.0,42.0,0.0,0.0,245.0,0.0,0.0
Madison,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1,362.0,262.0,100.0,0.0,0.0,0.0,0.0,65.0,56.0,36.0,0.0,0.0,0.0,362.0,0.0
Madison,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1,362.0,326.0,36.0,0.0,0.0,0.0,0.0,67.0,50.0,41.0,0.0,0.0,326.0,36.0,0.0
Mobile,359,218,140,1,0,0,0,105,61,44,0,0,103,256,0,352.0,167.0,185.0,0.0,0.0,0.0,0.0,82.0,64.0,52.0,0.0,0.0,69.0,283.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,365.0,84.0,280.0,1.0,0.0,0.0,0.0,122.0,71.0,57.0,0.0,0.0,18.0,346.0,1.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,364.0,267.0,97.0,0.0,0.0,0.0,0.0,77.0,58.0,41.0,0.0,0.0,156.0,208.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,361.0,284.0,77.0,0.0,0.0,0.0,0.0,88.0,57.0,41.0,0.0,0.0,190.0,171.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,365.0,256.0,109.0,0.0,0.0,0.0,0.0,71.0,58.0,44.0,0.0,0.0,153.0,212.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,365.0,163.0,202.0,0.0,0.0,0.0,0.0,95.0,67.0,52.0,0.0,0.0,101.0,264.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,362.0,262.0,99.0,1.0,0.0,0.0,0.0,129.0,61.0,40.0,0.0,0.0,163.0,199.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,362.0,278.0,84.0,0.0,0.0,0.0,0.0,67.0,55.0,35.0,0.0,0.0,0.0,362.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,365.0,261.0,99.0,5.0,0.0,0.0,0.0,143.0,61.0,44.0,0.0,2.0,226.0,137.0,0.0
Morgan,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0,365.0,247.0,118.0,0.0,0.0,0.0,0.0,93.0,58.0,45.0,0.0,0.0,145.0,220.0,0.0
Morgan,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0,364.0,344.0,20.0,0.0,0.0,0.0,0.0,87.0,48.0,35.0,0.0,0.0,364.0,0.0,0.0
Morgan,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0,356.0,341.0,15.0,0.0,0.0,0.0,0.0,80.0,47.0,36.0,0.0,0.0,356.0,0.0,0.0
Russell,364,199,165,0,0,0,0,99,64,48,0,0,66,298,0,363.0,195.0,168.0,0.0,0.0,0.0,0.0,84.0,63.0,48.0,0.0,0.0,64.0,299.0,0.0
Shelby,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0,244.0,202.0,39.0,3.0,0.0,0.0,0.0,119.0,61.0,42.0,0.0,0.0,244.0,0.0,0.0
Shelby,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0,365.0,338.0,27.0,0.0,0.0,0.0,0.0,84.0,49.0,36.0,0.0,0.0,365.0,0.0,0.0
Shelby,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0,365.0,152.0,209.0,4.0,0.0,0.0,0.0,148.0,67.0,52.0,0.0,3.0,118.0,243.0,1.0
Sumter,357,327,30,0,0,0,0,77,48,31,0,0,202,155,0,354.0,287.0,67.0,0.0,0.0,0.0,0.0,67.0,54.0,38.0,0.0,0.0,115.0,239.0,0.0
Sumter,357,327,30,0,0,0,0,77,48,31,0,0,202,155,0,238.0,211.0,27.0,0.0,0.0,0.0,0.0,97.0,54.0,39.0,0.0,0.0,238.0,0.0,0.0
Tuscaloosa,320,223,96,1,0,0,0,115,60,42,0,0,165,155,0,264.0,217.0,47.0,0.0,0.0,0.0,0.0,87.0,54.0,39.0,0.0,0.0,173.0,91.0,0.0
Aleutians East ,120,120,0,0,0,0,0,46,28,13,0,0,0,120,0,121.0,119.0,2.0,0.0,0.0,0.0,0.0,55.0,29.0,14.0,0.0,0.0,0.0,121.0,0.0
Anchorage ,365,288,77,0,0,0,0,87,60,30,0,0,0,288,77,365.0,254.0,102.0,5.0,4.0,0.0,0.0,163.0,67.0,32.0,5.0,0.0,0.0,285.0,75.0
Bethel ,202,194,8,0,0,0,0,77,37,19,0,0,0,157,45,317.0,302.0,13.0,1.0,1.0,0.0,0.0,185.0,34.0,13.0,0.0,0.0,0.0,212.0,105.0
Denali ,364,361,3,0,0,0,0,58,44,35,0,0,363,1,0,360.0,355.0,5.0,0.0,0.0,0.0,0.0,82.0,44.0,36.0,0.0,0.0,348.0,12.0,0.0
