AQI_records_21,Good_21,Moderate_21,Unhealthy_sens_21,Unhealthy_21,Very_unhealthy_21,Hazardous_21,Max_AQI_21,90th_Percentile_AQI_21,Median_AQI_21,CO_21,NO2_21,O3_21,PM2.5_21,PM10_21,State_County_Year
280,248,32,0,0,0,0,63,52,37,0,0,199,81,0,AlabamaBaldwin2021
110,87,23,0,0,0,0,70,55,36,0,0,0,110,0,AlabamaClay2021
361,315,46,0,0,0,0,84,53,37,0,0,298,63,0,AlabamaDeKalb2021
241,238,3,0,0,0,0,87,44,32,0,0,241,0,0,AlabamaElmore2021
286,235,51,0,0,0,0,80,57,38,0,0,201,85,0,AlabamaEtowah2021
365,104,256,3,2,0,0,189,77,56,0,1,47,317,0,AlabamaJefferson2021
100,89,11,0,0,0,0,60,53,28,0,0,0,100,0,AlabamaLawrence2021
357,189,166,2,0,0,0,105,62,49,0,0,59,285,13,AlabamaMadison2021
361,125,236,0,0,0,0,83,62,53,0,0,35,326,0,AlabamaMobile2021
354,222,132,0,0,0,0,93,60,44,0,0,86,268,0,AlabamaMontgomery2021
365,209,156,0,0,0,0,97,63,47,0,0,71,294,0,AlabamaMorgan2021
364,214,147,3,0,0,0,142,65,47,0,0,51,313,0,AlabamaRussell2021
243,231,12,0,0,0,0,77,48,35,0,0,243,0,0,AlabamaShelby2021
355,311,44,0,0,0,0,71,52,35,0,0,91,264,0,AlabamaSumter2021
280,246,34,0,0,0,0,90,52,34,0,0,188,92,0,AlabamaTuscaloosa2021
118,117,1,0,0,0,0,51,29,13,0,0,0,118,0,AlaskaAleutians East 2021
365,289,74,2,0,0,0,132,57,28,2,0,0,277,86,AlaskaAnchorage 2021
363,360,3,0,0,0,0,74,41,33,0,0,360,3,0,AlaskaDenali 2021
365,211,120,21,13,0,0,189,97,42,0,0,66,298,1,AlaskaFairbanks North Star 2021
357,315,42,0,0,0,0,89,53,20,0,0,0,353,4,AlaskaJuneau 2021
121,121,0,0,0,0,0,41,19,9,0,0,0,121,0,AlaskaKenai Peninsula 2021
354,307,44,2,1,0,0,163,54,15,0,0,0,300,54,AlaskaMatanuska-Susitna 2021
114,113,1,0,0,0,0,53,15,5,0,0,0,114,0,AlaskaNorth Slope 2021
359,353,6,0,0,0,0,90,30,15,0,0,0,67,292,ArizonaApache2021
365,259,104,2,0,0,0,105,60,45,0,0,307,2,56,ArizonaCochise2021
365,265,100,0,0,0,0,93,64,46,0,0,356,9,0,ArizonaCoconino2021
365,239,116,8,2,0,0,180,80,46,0,0,341,4,20,ArizonaGila2021
362,254,107,0,1,0,0,187,71,46,0,0,351,7,4,ArizonaLa Paz2021
365,12,128,91,61,73,0,297,213,122,0,0,295,27,43,ArizonaMaricopa2021
363,360,2,0,1,0,0,156,34,19,0,0,0,2,361,ArizonaMohave2021
365,292,72,1,0,0,0,101,61,44,0,0,337,4,24,ArizonaNavajo2021
365,93,258,13,0,0,1,313,85,56,0,0,147,145,73,ArizonaPima2021
365,72,240,49,4,0,0,198,108,70,0,0,135,48,182,ArizonaPinal2021
360,169,189,1,1,0,0,171,71,52,0,0,0,295,65,ArizonaSanta Cruz2021
331,302,29,0,0,0,0,64,50,44,0,0,331,0,0,ArizonaYavapai2021
365,186,173,5,1,0,0,170,71,50,0,0,174,146,45,ArizonaYuma2021
120,89,31,0,0,0,0,76,57,39,0,0,0,120,0,ArkansasArkansas2021
120,82,38,0,0,0,0,66,59,42,0,0,0,120,0,ArkansasAshley2021
338,328,10,0,0,0,0,90,45,32,0,0,338,0,0,ArkansasClark2021
365,222,139,4,0,0,0,122,63,45,0,2,98,265,0,ArkansasCrittenden2021
120,71,49,0,0,0,0,80,60,45,0,0,0,120,0,ArkansasGarland2021
120,80,40,0,0,0,0,86,60,39,0,0,0,120,0,ArkansasJackson2021
365,340,25,0,0,0,0,74,48,37,0,0,330,35,0,ArkansasNewton2021
360,299,61,0,0,0,0,93,56,40,0,0,293,67,0,ArkansasPolk2021
365,114,249,2,0,0,0,112,73,54,0,2,36,327,0,ArkansasPulaski2021
116,66,50,0,0,0,0,74,60,48,0,0,0,116,0,ArkansasUnion2021
365,206,158,1,0,0,0,119,66,48,0,0,101,264,0,ArkansasWashington2021
365,155,200,9,1,0,0,151,71,53,0,3,99,263,0,CaliforniaAlameda2021
365,307,54,4,0,0,0,133,67,37,0,0,365,0,0,CaliforniaAmador2021
365,160,174,18,10,3,0,257,90,53,0,0,177,185,3,CaliforniaButte2021
364,220,135,6,3,0,0,178,77,46,0,0,216,148,0,CaliforniaCalaveras2021
365,111,238,9,6,1,0,225,76,55,0,0,60,291,14,CaliforniaColusa2021
365,195,165,5,0,0,0,150,69,47,0,0,139,226,0,CaliforniaContra Costa2021
323,259,64,0,0,0,0,72,54,31,0,0,0,323,0,CaliforniaDel Norte2021
365,247,96,16,4,1,1,375,93,43,0,0,349,9,7,CaliforniaEl Dorado2021
365,62,221,63,17,2,0,278,130,68,0,0,146,209,10,CaliforniaFresno2021
365,244,106,9,6,0,0,192,65,42,0,0,183,172,10,CaliforniaGlenn2021
365,333,32,0,0,0,0,64,48,29,12,0,219,78,56,CaliforniaHumboldt2021
365,84,252,22,4,1,2,436,97,60,0,0,134,126,105,CaliforniaImperial2021
365,100,222,25,12,3,3,558,115,61,0,0,152,185,28,CaliforniaInyo2021
365,35,202,97,29,1,1,314,147,84,0,0,151,199,15,CaliforniaKern2021
365,84,230,40,10,0,1,685,109,64,0,0,119,168,78,CaliforniaKings2021
356,348,7,0,1,0,0,157,43,33,0,0,335,19,2,CaliforniaLake2021
365,9,259,70,26,1,0,281,143,79,0,13,148,199,5,CaliforniaLos Angeles2021
365,133,197,28,7,0,0,194,100,58,0,0,210,131,24,CaliforniaMadera2021
365,267,98,0,0,0,0,88,60,38,0,2,149,214,0,CaliforniaMarin2021
365,193,140,25,7,0,0,162,97,49,0,0,292,73,0,CaliforniaMariposa2021
365,210,147,6,2,0,0,185,69,46,0,0,76,289,0,CaliforniaMendocino2021
365,155,177,31,2,0,0,166,100,54,0,0,210,151,4,CaliforniaMerced2021
364,260,78,12,11,0,3,2971,84,27,0,0,0,241,123,CaliforniaMono2021
365,261,104,0,0,0,0,80,57,41,0,0,161,194,10,CaliforniaMonterey2021
140,108,32,0,0,0,0,77,56,41,1,0,74,65,0,CaliforniaNapa2021
365,183,129,34,13,4,2,326,115,50,0,0,208,157,0,CaliforniaNevada2021
365,109,238,18,0,0,0,148,87,55,0,5,124,232,4,CaliforniaOrange2021
365,130,187,30,9,6,3,692,115,58,0,0,220,144,1,CaliforniaPlacer2021
365,97,184,37,24,16,7,654,170,67,0,0,0,365,0,CaliforniaPlumas2021
365,19,210,89,44,2,1,329,158,89,0,0,191,127,47,CaliforniaRiverside2021
365,146,183,30,4,1,1,381,100,55,0,0,195,166,4,CaliforniaSacramento2021
365,295,70,0,0,0,0,100,55,41,0,0,280,79,6,CaliforniaSan Benito2021
365,17,202,73,61,11,1,486,172,87,0,7,191,155,12,CaliforniaSan Bernardino2021
365,52,297,16,0,0,0,133,90,67,0,0,163,199,3,CaliforniaSan Diego2021
365,255,110,0,0,0,0,86,60,39,0,8,162,195,0,CaliforniaSan Francisco2021
365,140,209,15,1,0,0,153,84,55,0,0,114,231,20,CaliforniaSan Joaquin2021
365,154,203,8,0,0,0,133,77,53,0,0,190,167,8,CaliforniaSan Luis Obispo2021
365,290,75,0,0,0,0,90,56,36,0,3,199,163,0,CaliforniaSan Mateo2021
365,240,124,1,0,0,0,101,60,44,0,0,180,184,1,CaliforniaSanta Barbara2021
365,147,211,7,0,0,0,147,72,53,0,0,90,275,0,CaliforniaSanta Clara2021
365,298,67,0,0,0,0,80,54,37,0,0,187,178,0,CaliforniaSanta Cruz2021
365,253,95,13,4,0,0,186,84,44,0,0,344,20,1,CaliforniaShasta2021
364,237,96,7,21,3,0,210,86,43,0,0,178,186,0,CaliforniaSiskiyou2021
365,215,147,3,0,0,0,126,66,44,0,0,172,193,0,CaliforniaSolano2021
365,283,82,0,0,0,0,89,57,37,0,0,156,203,6,CaliforniaSonoma2021
365,84,234,42,5,0,0,172,105,61,0,0,136,225,4,CaliforniaStanislaus2021
364,102,240,17,5,0,0,175,90,59,0,0,95,268,1,CaliforniaSutter2021
365,207,122,21,15,0,0,193,100,47,0,0,256,109,0,CaliforniaTehama2021
328,201,81,4,19,9,14,1217,168,38,0,0,0,328,0,CaliforniaTrinity2021
365,49,182,93,38,2,1,961,154,81,0,0,173,187,5,CaliforniaTulare2021
360,295,63,2,0,0,0,136,61,41,0,0,360,0,0,CaliforniaTuolumne2021
365,157,198,10,0,0,0,122,80,53,0,0,214,140,11,CaliforniaVentura2021
365,242,117,4,2,0,0,159,68,42,0,0,215,149,1,CaliforniaYolo2021
365,188,154,22,1,0,0,151,93,49,0,52,174,88,51,ColoradoAdams2021
120,114,5,1,0,0,0,109,35,12,0,0,0,120,0,ColoradoAlamosa2021
365,220,108,34,3,0,0,161,101,46,0,0,352,13,0,ColoradoArapahoe2021
365,269,96,0,0,0,0,93,64,45,0,0,345,0,20,ColoradoArchuleta2021
365,154,176,32,3,0,0,160,100,52,0,0,228,136,1,ColoradoBoulder2021
112,47,59,6,0,0,0,119,93,58,0,0,112,0,0,ColoradoChaffee2021
357,206,127,22,2,0,0,154,93,49,0,0,357,0,0,ColoradoClear Creek2021
365,294,69,2,0,0,0,141,59,43,0,0,319,39,7,ColoradoDelta2021
365,128,202,31,4,0,0,166,100,55,0,107,142,116,0,ColoradoDenver2021
358,195,121,34,8,0,0,177,108,48,0,0,295,63,0,ColoradoDouglas2021
365,224,113,28,0,0,0,140,93,47,0,0,333,32,0,ColoradoEl Paso2021
86,85,1,0,0,0,0,62,28,15,0,0,0,0,86,ColoradoFremont2021
365,198,156,10,1,0,0,158,87,49,0,0,357,8,0,ColoradoGarfield2021
363,250,94,18,1,0,0,151,84,46,0,0,363,0,0,ColoradoGilpin2021
