StateFIPS,State,CountyFIPS,County,Year,copd%_age,CI_low_copd_age,CI_high_copd_age,State_County_Year,State_County,copd%_crude,CI_low_copd_crude,CI_high_copd_crude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
1,Alabama,1001,Autauga,2018,7.7%,6.7%,8.8%,alabamaautauga2018,AlabamaAutauga,8.6%,7.3%,9.8%,,,,,,,,,,,,,,,
1,Alabama,1001,Autauga,2019,7.5%,6.5%,8.5%,alabamaautauga2019,AlabamaAutauga,8.4%,7.2%,9.6%,,,,,,,,,,,,,,,
1,Alabama,1001,Autauga,2020,7.3%,6.3%,8.3%,alabamaautauga2020,AlabamaAutauga,8.3%,7.1%,9.4%,,,,,,,,,,,,,,,
1,Alabama,1001,Autauga,2021,6.8%,5.6%,8.1%,alabamaautauga2021,AlabamaAutauga,7.6%,6.3%,9.2%,,,,,,,,,,,,,,,
1,Alabama,1003,Baldwin,2018,7.1%,6.0%,8.2%,alabamabaldwin2018,AlabamaBaldwin,8.6%,7.2%,10.2%,270.0,232.0,38.0,0.0,0.0,0.0,0.0,97.0,54.0,37.0,0.0,0.0,194.0,76.0,0.0
1,Alabama,1003,Baldwin,2019,6.9%,5.9%,8.0%,alabamabaldwin2019,AlabamaBaldwin,8.4%,7.1%,9.9%,271.0,221.0,50.0,0.0,0.0,0.0,0.0,80.0,55.0,40.0,0.0,0.0,198.0,73.0,0.0
1,Alabama,1003,Baldwin,2020,6.7%,5.7%,7.7%,alabamabaldwin2020,AlabamaBaldwin,8.4%,7.0%,9.8%,269.0,223.0,46.0,0.0,0.0,0.0,0.0,74.0,54.0,38.0,0.0,0.0,178.0,91.0,0.0
1,Alabama,1003,Baldwin,2021,6.5%,5.3%,7.7%,alabamabaldwin2021,AlabamaBaldwin,8.1%,6.5%,9.8%,280.0,248.0,32.0,0.0,0.0,0.0,0.0,63.0,52.0,37.0,0.0,0.0,199.0,81.0,0.0
1,Alabama,1005,Barbour,2018,10.5%,9.5%,11.5%,alabamabarbour2018,AlabamaBarbour,12.1%,10.8%,13.3%,,,,,,,,,,,,,,,
1,Alabama,1005,Barbour,2019,10.7%,9.6%,11.8%,alabamabarbour2019,AlabamaBarbour,12.3%,11.0%,13.6%,,,,,,,,,,,,,,,
