County,Year,SO2 Mean,SO2 Median,Ozone Mean,Ozone Median,CO Mean,CO Median,PM2.5 Mean,PM2.5 Median,PM10 Mean,PM10 Median
Berkeley,2018,4.525,4.525,0.039,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Berkeley,2019,4.525,4.525,0.041,0.042,0.269,0.269,7.983,7.983,15.002,15.002
Berkeley,2020,4.525,4.525,0.039,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Berkeley,2021,4.525,4.525,0.041,0.041,0.269,0.269,7.983,7.983,15.002,15.002
Berkeley,2022,4.525,4.525,0.039,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Berkeley,2023,4.525,4.525,0.045,0.045,0.269,0.269,7.983,7.983,15.002,15.002
Berkeley,2024,4.525,4.525,0.044,0.045,0.269,0.269,7.983,7.983,15.002,15.002
Brooke,2018,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,15.297,13.0
Brooke,2019,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,16.112,15.0
Brooke,2020,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,14.628,13.0
Brooke,2021,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,17.478,15.0
Brooke,2022,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,15.672,15.0
Brooke,2023,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,18.74,16.0
Brooke,2024,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,14.766,13.5
Cabell,2018,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Cabell,2019,4.525,4.525,0.042,0.042,0.269,0.269,7.983,7.983,15.002,15.002
Cabell,2020,4.525,4.525,0.038,0.039,0.269,0.269,7.983,7.983,15.002,15.002
Cabell,2021,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Cabell,2022,4.525,4.525,0.04,0.04,0.269,0.269,7.983,7.983,15.002,15.002
Cabell,2023,4.525,4.525,0.045,0.046,0.269,0.269,7.983,7.983,15.002,15.002
Cabell,2024,4.525,4.525,0.044,0.045,0.269,0.269,7.983,7.983,15.002,15.002
Gilmer,2018,4.525,4.525,0.032,0.031,0.269,0.269,7.983,7.983,15.002,15.002
Gilmer,2019,4.525,4.525,0.035,0.034,0.269,0.269,7.983,7.983,15.002,15.002
Gilmer,2020,4.525,4.525,0.032,0.031,0.269,0.269,7.983,7.983,15.002,15.002
