County,County Value,Error Margin,Black,Hispanic,White
"West Virginia","$43,200","$41,900 to $44,400",,,
"Barbour","$36,500","$32,300 to $40,700",,,
"Berkeley","$57,000","$51,700 to $62,200","$48,100","$56,800","$58,100"
"Boone","$36,300","$31,800 to $40,800","$27,000","$21,400","$37,900"
"Braxton","$36,600","$32,400 to $40,900",,,
"Brooke","$46,000","$40,800 to $51,200","$33,900","$61,500","$46,400"
"Cabell","$39,500","$35,600 to $43,300","$15,000","$32,700","$39,300"
"Calhoun","$33,800","$30,200 to $37,400",,"$61,100","$39,600"
"Clay","$33,700","$29,500 to $38,000",,,
"Doddridge","$40,500","$35,700 to $45,400",,,
"Fayette","$38,800","$35,600 to $42,100","$38,000","$20,100","$38,000"
"Gilmer","$35,300","$31,300 to $39,400",,,
"Grant","$38,500","$34,600 to $42,400",,,
"Greenbrier","$38,800","$34,400 to $43,200","$29,300","$42,100","$41,100"
"Hampshire","$45,200","$40,400 to $50,000","$18,300",,"$32,500"
"Hancock","$44,900","$40,300 to $49,500","$45,300","$17,600","$40,100"
"Hardy","$40,200","$36,000 to $44,500","$32,000",,"$41,200"
"Harrison","$46,500","$42,100 to $51,000","$34,800","$38,400","$45,100"
"Jackson","$43,500","$39,100 to $48,000",,,
"Jefferson","$71,300","$64,600 to $78,100","$72,000","$58,700","$69,800"
"Kanawha","$45,000","$41,200 to $48,700","$28,600","$61,200","$47,600"
"Lewis","$36,800","$32,800 to $40,800",,,
"Lincoln","$32,500","$29,000 to $36,000",,,
"Logan","$35,700","$31,500 to $39,900","$73,000","$35,800","$37,200"
"Marion","$45,700","$41,700 to $49,700","$23,900","$87,700","$47,500"
"Marshall","$42,400","$37,900 to $46,800","$8,800","$36,300","$44,800"
"Mason","$42,200","$38,200 to $46,200",,,
"McDowell","$24,500","$21,700 to $27,200","$23,800",,"$25,300"
"Mercer","$36,900","$33,100 to $40,700","$26,200","$48,900","$38,000"
"Mineral","$45,400","$42,500 to $48,400","$12,900","$9,500","$37,000"
"Mingo","$30,600","$26,700 to $34,500","$30,000",,"$32,800"
"Monongalia","$49,700","$45,900 to $53,600","$28,900","$28,000","$48,100"
"Monroe","$38,400","$33,500 to $43,200","$15,700","$41,300","$36,100"
"Morgan","$59,600","$56,300 to $62,900","$62,600","$46,200","$42,800"
"Nicholas","$37,400","$33,800 to $40,900",,"$77,400","$39,700"
"Ohio","$43,200","$39,300 to $47,200","$23,200",,"$43,000"
"Pendleton","$40,000","$34,900 to $45,000",,,
"Pleasants","$47,300","$41,200 to $53,400",,,
"Pocahontas","$35,900","$31,300 to $40,500",,"$34,600","$35,900"
"Preston","$44,400","$40,000 to $48,900",,"$31,500","$45,400"
"Putnam","$56,800","$50,300 to $63,300",,"$48,300","$56,700"
"Raleigh","$42,300","$38,400 to $46,200","$25,900","$56,700","$42,100"
"Randolph","$38,500","$35,100 to $41,900",,"$10,100","$40,500"
"Ritchie","$42,200","$38,300 to $46,000",,,
"Roane","$35,100","$31,600 to $38,700",,"$21,900","$34,100"
"Summers","$31,500","$27,800 to $35,100","$28,300",,"$36,300"
"Taylor","$44,600","$39,400 to $49,800","$35,800",,"$44,700"
"Tucker","$42,100","$38,300 to $45,900",,,
"Tyler","$42,400","$37,200 to $47,700",,,
"Upshur","$40,500","$35,600 to $45,400",,,
"Wayne","$40,900","$36,800 to $45,000",,"$75,100","$38,200"
"Webster","$30,600","$26,600 to $34,500",,,
"Wetzel","$42,700","$37,700 to $47,600",,,
"Wirt","$37,500","$33,100 to $42,000",,"$21,000","$37,900"
"Wood","$46,700","$42,700 to $50,800","$31,700","$32,800","$44,300"
"Wyoming","$36,000","$32,600 to $39,500",,,
