County,County Value,Error Margin,AIAN,Asian,Black,Hispanic,White
"West Virginia","$51,100","$49,900 to $52,400",,,,,
"Barbour","$43,500","$38,700 to $48,400",,,,,
"Berkeley","$70,900","$63,000 to $78,800","$111,800","$54,300","$58,400","$71,100","$69,100"
"Boone","$41,200","$35,600 to $46,800",,,"$22,300",,"$51,300"
"Braxton","$41,600","$35,800 to $47,300",,,"$21,500",,"$43,800"
"Brooke","$52,200","$45,000 to $59,500",,"$63,800",,"$67,900","$51,900"
"Cabell","$46,900","$42,700 to $51,100","$30,900","$61,300","$15,400","$39,600","$46,200"
"Calhoun","$38,800","$33,200 to $44,500",,,,,
"Clay","$38,300","$32,800 to $43,700",,,,,
"Doddridge","$48,500","$42,000 to $55,000",,,,,
"Fayette","$40,500","$35,400 to $45,500","$21,600",,"$31,900",,"$46,400"
"Gilmer","$40,500","$34,800 to $46,100",,"$27,200",,"$58,400","$51,200"
"Grant","$47,400","$40,500 to $54,300",,,,,
"Greenbrier","$42,000","$37,400 to $46,500",,,"$36,500",,"$42,100"
"Hampshire","$52,200","$47,600 to $56,700",,,,,
"Hancock","$52,300","$45,400 to $59,200",,,,"$28,500","$52,600"
"Hardy","$51,600","$44,200 to $58,900",,,,,
"Harrison","$52,000","$48,000 to $56,100",,"$84,800","$51,900","$72,900","$54,100"
"Jackson","$58,600","$53,900 to $63,300",,,,"$57,600","$53,900"
"Jefferson","$85,300","$78,000 to $92,600",,"$88,200","$64,400","$75,900","$90,200"
"Kanawha","$55,100","$51,300 to $58,800",,"$102,400","$32,400","$91,600","$51,600"
"Lewis","$47,300","$40,700 to $53,900",,"$19,700",,,"$44,700"
"Lincoln","$41,500","$36,600 to $46,300",,,,,
"Logan","$40,400","$35,800 to $45,000",,"$11,300",,,"$39,700"
"Marion","$51,300","$47,900 to $54,600",,,"$20,000","$55,600","$56,700"
"Marshall","$51,400","$45,300 to $57,500",,,"$58,700",,"$51,900"
"Mason","$44,400","$38,500 to $50,200",,,,"$73,600","$51,100"
"McDowell","$28,700","$25,000 to $32,500",,,"$23,200","$16,300","$31,400"
"Mercer","$45,700","$41,400 to $50,000",,,"$37,700",,"$44,100"
"Mineral","$55,000","$47,600 to $62,400",,,,,
"Mingo","$33,400","$28,500 to $38,400",,,"$12,700",,"$36,500"
"Monongalia","$56,700","$51,400 to $62,000",,"$58,300","$47,000","$34,200","$57,300"
"Monroe","$47,300","$40,700 to $54,000",,,,,
"Morgan","$58,500","$50,800 to $66,100","$153,200",,"$39,400",,"$57,300"
"Nicholas","$47,200","$42,500 to $51,900",,,,,
"Ohio","$53,600","$46,600 to $60,600",,"$92,500","$27,500",,"$53,400"
"Pendleton","$48,000","$41,000 to $55,100",,,,"$11,500","$47,500"
"Pleasants","$53,700","$46,400 to $61,000",,,,,
"Pocahontas","$40,300","$35,000 to $45,500",,,,,
"Preston","$57,200","$52,200 to $62,100",,,,,
"Putnam","$66,900","$58,600 to $75,300",,"$61,500",,"$23,400","$69,400"
"Raleigh","$42,500","$37,500 to $47,600",,,"$36,400","$57,700","$43,100"
"Randolph","$44,500","$38,700 to $50,200",,,"$16,400","$54,300","$46,800"
"Ritchie","$47,900","$41,100 to $54,700",,,,,
"Roane","$41,200","$35,300 to $47,100",,,,,
"Summers","$40,700","$35,600 to $45,800",,,,,
"Taylor","$51,600","$44,100 to $59,100",,,,,
"Tucker","$49,100","$41,900 to $56,300",,,,,
"Tyler","$51,600","$44,000 to $59,200",,,,,
"Upshur","$49,700","$44,900 to $54,500",,,,"$30,900","$45,200"
"Wayne","$49,200","$44,300 to $54,200",,,"$71,300","$92,500","$45,000"
"Webster","$36,900","$32,700 to $41,100",,,,,
"Wetzel","$50,100","$43,600 to $56,600",,,,,
"Wirt","$50,200","$42,900 to $57,400",,,,,
"Wood","$53,400","$48,100 to $58,700","$58,300",,"$23,600","$59,800","$50,700"
"Wyoming","$37,500","$32,000 to $43,100",,,"$33,200",,"$45,600"
