County,# Primary Care Physicians,County Value,Z-Score
"West Virginia","1,450","1,270:1",
"Barbour","7","2,390:1","0.44"
"Berkeley","51","2,190:1","0.34"
"Boone","8","2,920:1","0.66"
"Braxton","8","1,800:1","0.06"
"Brooke","5","4,670:1","1.02"
"Cabell","158","610:1","-2.99"
"Calhoun","3","2,490:1","0.49"
"Clay",,,"0.00"
"Doddridge","2","4,090:1","0.94"
"Fayette","22","2,050:1","0.24"
"Gilmer","4","2,130:1","0.30"
"Grant","7","1,680:1","-0.06"
"Greenbrier","47","760:1","-2.12"
"Hampshire","5","4,670:1","1.02"
"Hancock","20","1,490:1","-0.27"
"Hardy","4","3,460:1","0.81"
"Harrison","79","870:1","-1.63"
"Jackson","10","2,920:1","0.66"
"Jefferson","30","1,880:1","0.12"
"Kanawha","246","770:1","-2.07"
"Lewis","11","1,500:1","-0.26"
"Lincoln","7","3,060:1","0.70"
"Logan","16","2,170:1","0.32"
"Marion","33","1,730:1","-0.01"
"Marshall","12","2,660:1","0.57"
"Mason","15","1,800:1","0.06"
"McDowell","10","1,980:1","0.20"
"Mercer","40","1,530:1","-0.22"
"Mineral","8","3,430:1","0.80"
"Mingo","8","3,160:1","0.73"
"Monongalia","129","810:1","-1.87"
"Monroe","6","2,250:1","0.37"
"Morgan","9","1,950:1","0.17"
"Nicholas","23","1,110:1","-0.92"
"Ohio","74","580:1","-3.24"
"Pendleton","3","2,410:1","0.45"
"Pleasants","2","3,840:1","0.89"
"Pocahontas","4","2,150:1","0.31"
"Preston","12","2,830:1","0.63"
"Putnam","62","920:1","-1.46"
"Raleigh","73","1,060:1","-1.04"
"Randolph","20","1,460:1","-0.32"
"Ritchie","2","4,990:1","1.06"
"Roane","7","2,060:1","0.26"
"Summers","5","2,650:1","0.56"
"Taylor","5","3,380:1","0.79"
"Tucker","3","2,320:1","0.41"
"Tyler","4","2,240:1","0.37"
"Upshur","11","2,250:1","0.37"
"Wayne","25","1,640:1","-0.10"
"Webster","5","1,750:1","0.01"
"Wetzel","8","1,980:1","0.20"
"Wirt","1","5,880:1","1.15"
"Wood","74","1,170:1","-0.79"
"Wyoming","6","3,690:1","0.86"
