County,County Value**,Error Margin,Z-Score
"West Virginia","25%","24-26%",
"Barbour","23%","22-24%","0.40"
"Berkeley","23%","22-23%","0.11"
"Boone","25%","24-26%","1.12"
"Braxton","22%","21-23%","-0.03"
"Brooke","19%","18-20%","-1.62"
"Cabell","22%","22-23%","0.03"
"Calhoun","23%","22-25%","0.50"
"Clay","24%","23-25%","0.75"
"Doddridge","23%","22-24%","0.12"
"Fayette","27%","26-27%","2.01"
"Gilmer","26%","25-27%","1.80"
"Grant","21%","20-22%","-0.61"
"Greenbrier","23%","22-24%","0.16"
"Hampshire","22%","21-23%","-0.43"
"Hancock","21%","20-22%","-0.79"
"Hardy","20%","20-21%","-1.03"
"Harrison","20%","19-21%","-1.13"
"Jackson","23%","22-24%","0.27"
"Jefferson","19%","18-20%","-1.81"
"Kanawha","21%","21-22%","-0.53"
"Lewis","21%","20-22%","-0.68"
"Lincoln","24%","23-25%","0.93"
"Logan","22%","21-23%","-0.07"
"Marion","26%","25-27%","1.76"
"Marshall","22%","21-22%","-0.46"
"Mason","24%","24-25%","1.01"
"McDowell","28%","27-29%","2.69"
"Mercer","24%","23-25%","0.72"
"Mineral","22%","21-23%","-0.10"
"Mingo","25%","24-26%","1.19"
"Monongalia","20%","19-21%","-1.34"
"Monroe","22%","21-23%","-0.40"
"Morgan","20%","19-21%","-1.03"
"Nicholas","22%","21-23%","-0.12"
"Ohio","19%","18-20%","-1.73"
"Pendleton","21%","20-21%","-0.96"
"Pleasants","21%","20-22%","-0.50"
"Pocahontas","22%","21-23%","-0.28"
"Preston","22%","21-23%","-0.17"
"Putnam","18%","17-19%","-2.24"
"Raleigh","23%","22-24%","0.31"
"Randolph","24%","23-24%","0.54"
"Ritchie","24%","23-25%","0.59"
"Roane","23%","22-24%","0.45"
"Summers","23%","22-24%","0.27"
"Taylor","22%","21-23%","-0.42"
"Tucker","20%","19-21%","-1.22"
"Tyler","21%","20-22%","-0.67"
"Upshur","22%","21-23%","-0.40"
"Wayne","24%","24-25%","1.01"
"Webster","24%","23-25%","0.60"
"Wetzel","24%","23-25%","0.54"
"Wirt","23%","22-24%","0.11"
"Wood","21%","20-22%","-0.63"
"Wyoming","25%","24-26%","1.44"
