NIC_PT,NUI_PT,NAME,IPRCAT,AGECAT,SEXCAT,YEAR,state,county
2077,792,"Barbour County, WV",1,0,1,2006,54,001
10417,2454,"Barbour County, WV",0,0,0,2006,54,001
4338,1596,"Barbour County, WV",1,0,0,2006,54,001
5190,1300,"Barbour County, WV",0,0,1,2006,54,001
5227,1154,"Barbour County, WV",0,0,2,2006,54,001
2261,804,"Barbour County, WV",1,0,2,2006,54,001
7453,2161,"Barbour County, WV",0,1,0,2006,54,001
2650,1393,"Barbour County, WV",1,1,0,2006,54,001
3637,1147,"Barbour County, WV",0,1,1,2006,54,001
1214,688,"Barbour County, WV",1,1,1,2006,54,001
3816,1014,"Barbour County, WV",0,1,2,2006,54,001
2148,515,"Barbour County, WV",0,2,1,2006,54,001
1436,706,"Barbour County, WV",1,1,2,2006,54,001
4366,1013,"Barbour County, WV",0,2,0,2006,54,001
1398,631,"Barbour County, WV",1,2,0,2006,54,001
658,299,"Barbour County, WV",1,2,1,2006,54,001
2218,498,"Barbour County, WV",0,2,2,2006,54,001
740,332,"Barbour County, WV",1,2,2,2006,54,001
3109,323,"Barbour County, WV",0,4,0,2006,54,001
1745,219,"Barbour County, WV",1,4,0,2006,54,001
75027,15375,"Berkeley County, WV",0,0,0,2006,54,003
13636,8016,"Berkeley County, WV",1,0,0,2006,54,003
36783,8640,"Berkeley County, WV",0,0,1,2006,54,003
6126,3895,"Berkeley County, WV",1,0,1,2006,54,003
38245,6735,"Berkeley County, WV",0,0,2,2006,54,003
7510,4122,"Berkeley County, WV",1,0,2,2006,54,003
51219,12938,"Berkeley County, WV",0,1,0,2006,54,003
6742,6585,"Berkeley County, WV",1,1,0,2006,54,003
24647,7410,"Berkeley County, WV",0,1,1,2006,54,003
2638,3216,"Berkeley County, WV",1,1,1,2006,54,003
26572,5528,"Berkeley County, WV",0,1,2,2006,54,003
4104,3370,"Berkeley County, WV",1,1,2,2006,54,003
27883,4653,"Berkeley County, WV",0,2,0,2006,54,003
3221,2364,"Berkeley County, WV",1,2,0,2006,54,003
13785,2540,"Berkeley County, WV",0,2,1,2006,54,003
1380,1276,"Berkeley County, WV",1,2,1,2006,54,003
14098,2113,"Berkeley County, WV",0,2,2,2006,54,003
1841,1088,"Berkeley County, WV",1,2,2,2006,54,003
24872,2617,"Berkeley County, WV",0,4,0,2006,54,003
7068,1508,"Berkeley County, WV",1,4,0,2006,54,003
18668,3277,"Boone County, WV",0,0,0,2006,54,005
7405,2103,"Boone County, WV",1,0,0,2006,54,005
9090,1795,"Boone County, WV",0,0,1,2006,54,005
3490,1087,"Boone County, WV",1,0,1,2006,54,005
9578,1482,"Boone County, WV",0,0,2,2006,54,005
3915,1016,"Boone County, WV",1,0,2,2006,54,005
13398,2863,"Boone County, WV",0,1,0,2006,54,005
4749,1846,"Boone County, WV",1,1,0,2006,54,005
2594,901,"Boone County, WV",1,1,2,2006,54,005
6417,1563,"Boone County, WV",0,1,1,2006,54,005
2155,945,"Boone County, WV",1,1,1,2006,54,005
6982,1299,"Boone County, WV",0,1,2,2006,54,005
7942,1099,"Boone County, WV",0,2,0,2006,54,005
2628,711,"Boone County, WV",1,2,0,2006,54,005
3893,572,"Boone County, WV",0,2,1,2006,54,005
1232,356,"Boone County, WV",1,2,1,2006,54,005
4049,527,"Boone County, WV",0,2,2,2006,54,005
1396,355,"Boone County, WV",1,2,2,2006,54,005
5520,457,"Boone County, WV",0,4,0,2006,54,005
2738,270,"Boone County, WV",1,4,0,2006,54,005
9317,2445,"Braxton County, WV",0,0,0,2006,54,007
4181,1498,"Braxton County, WV",1,0,0,2006,54,007
4596,1272,"Braxton County, WV",0,0,1,2006,54,007
1993,716,"Braxton County, WV",1,0,1,2006,54,007
4721,1173,"Braxton County, WV",0,0,2,2006,54,007
2188,783,"Braxton County, WV",1,0,2,2006,54,007
6720,2132,"Braxton County, WV",0,1,0,2006,54,007
2616,1292,"Braxton County, WV",1,1,0,2006,54,007
3295,1117,"Braxton County, WV",0,1,1,2006,54,007
1228,616,"Braxton County, WV",1,1,1,2006,54,007
3425,1014,"Braxton County, WV",0,1,2,2006,54,007
1388,676,"Braxton County, WV",1,1,2,2006,54,007
4087,982,"Braxton County, WV",0,2,0,2006,54,007
1416,565,"Braxton County, WV",1,2,0,2006,54,007
2042,518,"Braxton County, WV",0,2,1,2006,54,007
691,280,"Braxton County, WV",1,2,1,2006,54,007
2046,464,"Braxton County, WV",0,2,2,2006,54,007
725,285,"Braxton County, WV",1,2,2,2006,54,007
2762,350,"Braxton County, WV",0,4,0,2006,54,007
1644,225,"Braxton County, WV",1,4,0,2006,54,007
15764,2992,"Brooke County, WV",0,0,0,2006,54,009
3604,1970,"Brooke County, WV",1,0,0,2006,54,009
