County,# Primary Care Physicians,County Value,Z-Score
"West Virginia","1,400","1,270:1",
"Barbour","6","2,740:1","0.45"
"Berkeley","50","2,440:1","0.34"
"Boone","6","3,510:1","0.66"
"Braxton","6","2,280:1","0.26"
"Brooke","6","3,610:1","0.68"
"Cabell","159","580:1","-3.11"
"Calhoun","3","2,320:1","0.28"
"Clay","1","8,340:1","1.09"
"Doddridge","1","8,370:1","1.09"
"Fayette","18","2,340:1","0.29"
"Gilmer","3","2,600:1","0.40"
"Grant","7","1,640:1","-0.18"
"Greenbrier","51","670:1","-2.46"
"Hampshire","6","3,870:1","0.73"
"Hancock","16","1,790:1","-0.06"
"Hardy","2","6,820:1","1.02"
"Harrison","87","770:1","-1.98"
"Jackson","10","2,850:1","0.49"
"Jefferson","37","1,550:1","-0.27"
"Kanawha","242","730:1","-2.17"
"Lewis","8","1,980:1","0.08"
"Lincoln","9","2,230:1","0.23"
"Logan","17","1,860:1","0.01"
"Marion","29","1,930:1","0.05"
"Marshall","10","3,010:1","0.54"
"Mason","12","2,190:1","0.22"
"McDowell","4","4,230:1","0.79"
"Mercer","32","1,820:1","-0.03"
"Mineral","8","3,340:1","0.62"
"Mingo","4","5,740:1","0.95"
"Monongalia","150","710:1","-2.25"
"Monroe","5","2,650:1","0.42"
"Morgan","8","2,230:1","0.24"
"Nicholas","22","1,110:1","-0.95"
"Ohio","62","660:1","-2.51"
"Pendleton","3","2,310:1","0.28"
"Pleasants","1","7,440:1","1.05"
"Pocahontas","3","2,730:1","0.45"
"Preston","14","2,380:1","0.31"
"Putnam","60","940:1","-1.36"
"Raleigh","58","1,260:1","-0.67"
"Randolph","19","1,490:1","-0.34"
"Ritchie","2","4,750:1","0.85"
"Roane","7","1,930:1","0.05"
"Summers","3","4,150:1","0.77"
"Taylor","6","2,780:1","0.47"
"Tucker","4","1,700:1","-0.13"
"Tyler","3","2,840:1","0.49"
"Upshur","15","1,620:1","-0.21"
"Wayne","21","1,860:1","0.00"
"Webster","2","4,030:1","0.76"
"Wetzel","6","2,480:1","0.35"
"Wirt","1","5,710:1","0.94"
"Wood","73","1,140:1","-0.89"
"Wyoming","4","5,030:1","0.88"
