County,County Value,Error Margin,Black,Hispanic,White
"West Virginia","$43,200","$41,700 to $44,700",,,
"Barbour","$37,300","$32,700 to $41,800",,,
"Berkeley","$59,100","$54,800 to $63,300","$51,000","$59,700","$60,700"
"Boone","$38,600","$34,300 to $42,800","$21,500","$31,300","$38,200"
"Braxton","$37,800","$33,300 to $42,200",,,
"Brooke","$50,800","$46,200 to $55,400","$34,200","$50,000","$49,100"
"Cabell","$38,200","$33,900 to $42,500","$15,400","$32,300","$39,300"
"Calhoun","$33,500","$29,200 to $37,800",,,
"Clay","$34,300","$30,000 to $38,600",,,
"Doddridge","$44,400","$39,200 to $49,500",,,
"Fayette","$38,100","$34,100 to $42,000","$36,700","$20,100","$39,600"
"Gilmer","$35,400","$30,900 to $40,000",,,
"Grant","$41,000","$35,800 to $46,200",,,
"Greenbrier","$37,900","$33,600 to $42,200","$29,600","$40,900","$41,800"
"Hampshire","$47,600","$42,800 to $52,500","$20,700","$22,100","$37,000"
"Hancock","$44,600","$39,500 to $49,700","$44,300",,"$43,600"
"Hardy","$44,300","$39,400 to $49,100","$32,700",,"$43,400"
"Harrison","$51,700","$47,200 to $56,300","$51,500","$41,900","$48,600"
"Jackson","$45,200","$39,600 to $50,800",,,
"Jefferson","$70,200","$62,500 to $77,900","$57,500","$51,700","$73,600"
"Kanawha","$43,600","$39,800 to $47,400","$29,400","$59,900","$48,100"
"Lewis","$41,900","$36,900 to $46,900",,,
"Lincoln","$36,100","$31,500 to $40,700",,,
"Logan","$34,900","$30,700 to $39,200","$75,100","$35,100","$37,600"
"Marion","$46,500","$42,500 to $50,500","$26,900","$78,200","$48,900"
"Marshall","$41,500","$38,500 to $44,400","$15,200","$36,500","$42,600"
"Mason","$40,300","$35,200 to $45,400",,,
"McDowell","$26,500","$23,100 to $29,800","$24,800",,"$25,600"
"Mercer","$36,200","$32,100 to $40,300","$27,200","$47,300","$38,700"
"Mineral","$45,100","$39,400 to $50,900","$21,800","$20,700","$41,400"
"Mingo","$30,900","$27,300 to $34,400","$12,100",,"$32,000"
"Monongalia","$50,600","$46,500 to $54,800","$32,800","$39,300","$50,700"
"Monroe","$44,200","$40,200 to $48,300","$18,500","$42,800","$37,000"
"Morgan","$44,400","$39,800 to $49,000","$65,600","$48,700","$45,900"
"Nicholas","$37,400","$32,700 to $42,000",,"$95,000","$39,100"
"Ohio","$47,800","$43,000 to $52,700","$27,200","$54,200","$46,800"
"Pendleton","$41,300","$36,100 to $46,400","$38,500",,"$39,500"
"Pleasants","$47,100","$41,000 to $53,300",,,
"Pocahontas","$35,400","$30,700 to $40,000",,"$87,900","$35,900"
"Preston","$45,200","$40,600 to $49,900",,"$31,200","$47,000"
"Putnam","$59,800","$53,900 to $65,700","$60,900","$40,500","$59,500"
"Raleigh","$41,300","$37,600 to $44,900","$31,600","$63,600","$42,600"
"Randolph","$37,200","$32,900 to $41,500",,,
"Ritchie","$40,600","$35,900 to $45,300",,,
"Roane","$37,100","$32,900 to $41,300",,,
"Summers","$32,400","$28,600 to $36,100","$30,700",,"$35,600"
"Taylor","$45,400","$39,700 to $51,100",,,
"Tucker","$39,500","$34,500 to $44,600",,,
"Tyler","$44,000","$38,800 to $49,100",,,
"Upshur","$37,900","$34,000 to $41,800","$72,700",,"$39,700"
"Wayne","$39,400","$34,400 to $44,300",,"$71,300","$39,100"
"Webster","$31,400","$27,400 to $35,500",,,
"Wetzel","$41,900","$37,000 to $46,700",,,
"Wirt","$42,300","$37,000 to $47,700",,"$20,900","$39,200"
"Wood","$44,700","$40,500 to $49,000","$30,200",,"$46,000"
"Wyoming","$34,600","$30,100 to $39,100",,,
