County,County Value,Error Margin,AIAN,Asian,Black,Hispanic,White
"West Virginia","$48,700","$47,400 to $50,000",,,,,
"Barbour","$39,700","$34,500 to $44,900",,,,,
"Berkeley","$63,000","$57,900 to $68,100",,"$59,200","$50,600","$59,400","$64,200"
"Boone","$43,700","$38,700 to $48,700",,,,,
"Braxton","$39,700","$34,100 to $45,200",,,,,
"Brooke","$50,900","$45,200 to $56,600",,"$73,900","$36,600","$65,700","$51,700"
"Cabell","$42,100","$38,300 to $45,900","$22,700","$45,700","$15,500","$39,300","$41,500"
"Calhoun","$37,300","$31,800 to $42,900",,,,,
"Clay","$41,900","$37,700 to $46,100",,,,,
"Doddridge","$50,600","$44,500 to $56,800",,,,,
"Fayette","$41,400","$37,200 to $45,600",,,"$24,600",,"$42,000"
"Gilmer","$40,400","$34,600 to $46,100",,,,,
"Grant","$47,400","$41,800 to $53,000",,,,,
"Greenbrier","$43,600","$40,000 to $47,100",,,"$28,700",,"$40,700"
"Hampshire","$54,800","$51,000 to $58,600",,,,"$33,300","$47,900"
"Hancock","$51,000","$45,000 to $57,100",,,"$45,100",,"$45,900"
"Hardy","$46,700","$40,300 to $53,000",,,"$67,100",,"$45,800"
"Harrison","$53,900","$50,400 to $57,400",,"$100,600","$62,800","$43,400","$53,300"
"Jackson","$50,800","$43,400 to $58,200",,,,,
"Jefferson","$75,200","$69,000 to $81,500",,"$118,000","$66,700","$64,800","$81,900"
"Kanawha","$48,300","$44,300 to $52,400",,"$104,900","$29,200","$71,000","$47,900"
"Lewis","$46,900","$40,600 to $53,200",,"$16,800",,,"$40,000"
"Lincoln","$43,200","$38,800 to $47,600",,,,,
"Logan","$38,500","$33,700 to $43,400",,"$34,200","$36,300",,"$36,500"
"Marion","$51,300","$46,900 to $55,700",,,"$24,800","$81,800","$51,200"
"Marshall","$53,100","$46,600 to $59,700",,,"$56,100","$34,400","$47,900"
"Mason","$47,800","$42,500 to $53,000",,,,"$50,100","$46,500"
"McDowell","$29,100","$26,800 to $31,400",,,"$22,200",,"$28,100"
"Mercer","$41,800","$38,400 to $45,100",,,"$36,000",,"$41,500"
"Mineral","$49,700","$43,200 to $56,200",,"$249,200","$45,900",,"$49,900"
"Mingo","$34,700","$30,100 to $39,300",,,,,
"Monongalia","$55,700","$51,300 to $60,000",,"$53,500","$43,000","$41,500","$53,500"
"Monroe","$44,700","$38,600 to $50,700",,,"$20,600",,"$39,000"
"Morgan","$50,700","$44,200 to $57,100",,,,,
"Nicholas","$40,000","$36,500 to $43,600",,,,,
"Ohio","$50,400","$45,500 to $55,300",,"$113,800","$26,300",,"$51,600"
"Pendleton","$43,500","$37,700 to $49,200",,,"$43,100",,"$42,500"
"Pleasants","$55,000","$47,300 to $62,600",,,,,
"Pocahontas","$39,500","$34,500 to $44,400",,,,,
"Preston","$50,800","$44,700 to $56,900",,,"$41,000","$33,400","$52,900"
"Putnam","$67,000","$60,200 to $73,800",,,"$64,300",,"$60,300"
"Raleigh","$45,400","$40,200 to $50,600",,,"$37,700","$56,900","$43,300"
"Randolph","$46,300","$42,200 to $50,400","$46,300","$43,800","$28,600","$85,200","$43,300"
"Ritchie","$46,100","$40,200 to $52,100",,,,,
"Roane","$41,700","$36,200 to $47,200",,,,,
"Summers","$37,000","$31,800 to $42,200",,,"$31,500",,"$38,600"
"Taylor","$48,300","$41,900 to $54,700",,,"$83,100",,"$48,700"
"Tucker","$47,200","$42,000 to $52,400",,,,,
"Tyler","$48,300","$43,900 to $52,800",,,,,
"Upshur","$45,100","$38,800 to $51,400",,,,"$31,300","$40,600"
"Wayne","$42,100","$37,300 to $46,900",,"$93,800",,,"$38,200"
"Webster","$34,400","$30,000 to $38,800",,,,,
"Wetzel","$46,800","$41,700 to $52,000",,,,,
"Wirt","$48,600","$41,800 to $55,500",,,,"$23,600","$46,700"
"Wood","$49,200","$43,900 to $54,500","$56,000",,"$18,200","$75,300","$47,700"
"Wyoming","$42,800","$39,000 to $46,500",,,,,
