County,income,healthcare,smoking
Barbour,36500.0,2390,23.0
Barbour,37300.0,2400,23.0
Barbour,39800.0,2360,23.0
Barbour,39700.0,2360,27.0
Barbour,43800.0,2350,25.0
Barbour,43500.0,2740,26.0
Barbour,46300.0,3090,24.0
Berkeley,57000.0,2190,23.0
Berkeley,59100.0,2230,23.0
Berkeley,59600.0,2250,22.0
Berkeley,63000.0,2340,25.0
Berkeley,67200.0,2250,22.0
Berkeley,70900.0,2440,22.0
Berkeley,70800.0,2380,20.0
Boone,36300.0,2920,25.0
Boone,38600.0,2540,25.0
Boone,38100.0,2790,25.0
Boone,43700.0,2740,28.0
Boone,49100.0,3580,28.0
Boone,41200.0,3510,27.0
Boone,46500.0,3040,25.0
Braxton,36600.0,1800,22.0
Braxton,37800.0,2070,22.0
Braxton,39300.0,2370,23.0
Braxton,39700.0,2350,29.0
Braxton,48000.0,2330,27.0
Braxton,41600.0,2280,28.0
Braxton,43300.0,2040,27.0
Brooke,46000.0,4670,19.0
Brooke,50800.0,5740,19.0
Brooke,48300.0,4490,20.0
Brooke,50900.0,4440,24.0
Brooke,50400.0,4390,24.0
Brooke,52200.0,3610,22.0
Brooke,61600.0,4430,20.0
Cabell,39500.0,610,22.0
Cabell,38200.0,600,22.0
Cabell,39800.0,630,24.0
Cabell,42100.0,590,26.0
Cabell,44200.0,570,24.0
Cabell,46900.0,580,24.0
Cabell,51000.0,600,22.0
Calhoun,33800.0,2490,23.0
Calhoun,33500.0,2450,23.0
Calhoun,36400.0,2440,24.0
Calhoun,37300.0,2420,29.0
Calhoun,41700.0,2370,29.0
Calhoun,38800.0,2320,28.0
Calhoun,43600.0,1540,28.0
Clay,33700.0,9007,24.0
Clay,34300.0,8860,24.0
Clay,36000.0,8760,24.0
Clay,41900.0,8630,31.0
Clay,36500.0,8510,30.0
Clay,38300.0,8340,30.0
Clay,42600.0,8233,27.0
Doddridge,40500.0,4090,23.0
Doddridge,44400.0,4210,23.0
Doddridge,44700.0,4280,21.0
Doddridge,50600.0,8410,26.0
Doddridge,50400.0,8450,26.0
Doddridge,48500.0,8370,26.0
Doddridge,47800.0,7740,24.0
Fayette,38800.0,2050,27.0
Fayette,38100.0,2110,27.0
Fayette,37900.0,2290,25.0
Fayette,41400.0,2150,29.0
Fayette,42000.0,2120,28.0
Fayette,40500.0,2340,27.0
Fayette,48700.0,2500,25.0
Gilmer,35300.0,2130,26.0
Gilmer,35400.0,2750,26.0
Gilmer,38200.0,2670,26.0
Gilmer,40400.0,2680,27.0
Gilmer,41600.0,2610,24.0
Gilmer,40500.0,2600,24.0
Gilmer,44900.0,2460,22.0
Grant,38500.0,1680,21.0
Grant,41000.0,1960,21.0
Grant,42100.0,1950,22.0
Grant,47400.0,1940,27.0
Grant,45600.0,1650,26.0
Grant,47400.0,1640,25.0
Grant,58200.0,1570,23.0
Greenbrier,38800.0,760,23.0
Greenbrier,37900.0,730,23.0
Greenbrier,37700.0,780,23.0
Greenbrier,43600.0,760,26.0
Greenbrier,40000.0,750,25.0
Greenbrier,42000.0,670,24.0
Greenbrier,45100.0,670,23.0
Hampshire,45200.0,4670,22.0
Hampshire,47600.0,4660,22.0
Hampshire,44400.0,3910,22.0
Hampshire,54800.0,3340,28.0
Hampshire,53300.0,3860,26.0
Hampshire,52200.0,3870,25.0
Hampshire,58300.0,3880,24.0
Hancock,44900.0,1490,21.0
Hancock,44600.0,1740,21.0
Hancock,47300.0,1840,22.0
Hancock,51000.0,1710,25.0
Hancock,52300.0,1600,25.0
Hancock,52300.0,1790,24.0
Hancock,58100.0,1690,21.0
Hardy,40200.0,3460,20.0
Hardy,44300.0,4630,20.0
Hardy,43600.0,6860,22.0
Hardy,46700.0,6890,27.0
Hardy,47500.0,6890,24.0
Hardy,51600.0,6820,25.0
Hardy,53900.0,7080,23.0
Harrison,46500.0,870,20.0
Harrison,51700.0,870,20.0
Harrison,47900.0,870,23.0
Harrison,53900.0,880,24.0
Harrison,52100.0,840,24.0
Harrison,52000.0,770,23.0
Harrison,57800.0,790,22.0
Jackson,43500.0,2920,23.0
Jackson,45200.0,3240,23.0
Jackson,48700.0,3220,21.0
Jackson,50800.0,2870,27.0
Jackson,52100.0,2860,24.0
Jackson,58600.0,2850,24.0
Jackson,54700.0,2770,24.0
Jefferson,71300.0,1880,19.0
Jefferson,70200.0,1880,19.0
Jefferson,75000.0,1710,20.0
Jefferson,75200.0,1890,21.0
Jefferson,85800.0,1900,20.0
Jefferson,85300.0,1550,18.0
Jefferson,87300.0,1720,17.0
Kanawha,45000.0,770,21.0
Kanawha,43600.0,740,21.0
Kanawha,41900.0,760,21.0
Kanawha,48300.0,730,25.0
Kanawha,47800.0,740,24.0
Kanawha,55100.0,730,23.0
Kanawha,55200.0,770,21.0
Lewis,36800.0,1500,21.0
Lewis,41900.0,1360,21.0
Lewis,40700.0,1350,23.0
Lewis,46900.0,1460,27.0
Lewis,53500.0,1590,27.0
Lewis,47300.0,1980,25.0
Lewis,53300.0,2410,23.0
Lincoln,32500.0,3060,24.0
Lincoln,36100.0,3030,24.0
Lincoln,39800.0,2310,24.0
Lincoln,43200.0,2570,31.0
Lincoln,40700.0,2270,28.0
Lincoln,41500.0,2230,28.0
Lincoln,43700.0,2010,27.0
Logan,35700.0,2170,22.0
Logan,34900.0,2410,22.0
Logan,34900.0,2060,25.0
Logan,38500.0,2170,29.0
Logan,38600.0,1780,29.0
Logan,40400.0,1860,30.0
Logan,42600.0,2450,27.0
Marion,45700.0,1730,26.0
Marion,46500.0,1770,26.0
Marion,46200.0,1880,23.0
Marion,51300.0,2000,25.0
Marion,58900.0,1930,25.0
Marion,51300.0,1930,23.0
Marion,58900.0,2070,21.0
Marshall,42400.0,2660,22.0
Marshall,41500.0,2650,22.0
Marshall,50100.0,2400,22.0
Marshall,53100.0,2800,26.0
Marshall,54000.0,3050,24.0
Marshall,51400.0,3010,23.0
Marshall,51900.0,2740,21.0
Mason,42200.0,1800,24.0
Mason,40300.0,1790,24.0
Mason,43100.0,1910,24.0
Mason,47800.0,2230,28.0
Mason,44300.0,2210,25.0
Mason,44400.0,2190,24.0
Mason,48100.0,2100,24.0
McDowell,24500.0,1980,28.0
McDowell,26500.0,2130,28.0
McDowell,27300.0,3690,30.0
McDowell,29100.0,3640,35.0
McDowell,26600.0,4410,34.0
McDowell,28700.0,4230,34.0
McDowell,29000.0,3670,31.0
Mercer,36900.0,1530,24.0
Mercer,36200.0,1590,24.0
Mercer,37900.0,1490,25.0
Mercer,41800.0,1600,26.0
Mercer,42100.0,1730,27.0
Mercer,45700.0,1820,26.0
Mercer,43900.0,1970,22.0
Mineral,45400.0,3430,22.0
Mineral,45100.0,3050,22.0
