County,County Value**,Error Margin,Z-Score
"West Virginia","26%","24-28%",
"Barbour","25%","22-29%","-0.09"
"Berkeley","22%","19-25%","-1.27"
"Boone","28%","24-31%","0.97"
"Braxton","27%","23-31%","0.50"
"Brooke","24%","20-27%","-0.76"
"Cabell","24%","20-28%","-0.76"
"Calhoun","29%","25-32%","1.16"
"Clay","30%","26-34%","1.71"
"Doddridge","26%","22-29%","-0.01"
"Fayette","28%","25-32%","0.93"
"Gilmer","24%","21-27%","-0.56"
"Grant","26%","22-30%","0.10"
"Greenbrier","25%","21-28%","-0.37"
"Hampshire","26%","22-29%","0.14"
"Hancock","25%","22-28%","-0.33"
"Hardy","24%","21-27%","-0.56"
"Harrison","24%","20-27%","-0.80"
"Jackson","24%","21-28%","-0.52"
"Jefferson","20%","17-23%","-2.41"
"Kanawha","24%","20-28%","-0.60"
"Lewis","27%","23-31%","0.54"
"Lincoln","28%","24-31%","0.85"
"Logan","29%","25-32%","1.20"
"Marion","25%","21-28%","-0.37"
"Marshall","24%","20-27%","-0.84"
"Mason","25%","22-29%","-0.09"
"McDowell^","34%","30-37%","3.00"
"Mercer","27%","23-30%","0.34"
"Mineral","23%","20-26%","-1.03"
"Mingo","30%","26-33%","1.52"
"Monongalia","20%","17-24%","-2.09"
"Monroe","26%","22-29%","-0.01"
"Morgan","24%","20-27%","-0.64"
"Nicholas","26%","23-30%","0.26"
"Ohio","22%","18-26%","-1.50"
"Pendleton","26%","22-29%","-0.05"
"Pleasants","25%","22-28%","-0.09"
"Pocahontas","27%","23-30%","0.42"
"Preston","25%","21-28%","-0.33"
"Putnam","21%","17-24%","-1.93"
"Raleigh","25%","22-28%","-0.25"
"Randolph","26%","23-30%","0.26"
"Ritchie","26%","23-30%","0.26"
"Roane","27%","24-31%","0.61"
"Summers","26%","22-29%","0.03"
"Taylor","26%","22-29%","-0.01"
"Tucker","23%","19-27%","-0.95"
"Tyler","25%","22-28%","-0.13"
"Upshur","26%","22-29%","0.03"
"Wayne","28%","24-32%","1.08"
"Webster","29%","25-32%","1.28"
"Wetzel","27%","24-30%","0.61"
"Wirt","28%","24-31%","0.85"
"Wood","23%","20-27%","-1.03"
"Wyoming","30%","26-33%","1.59"
