County,Year,healthcare,income,smoking
Barbour,2018,2390,36500.0,23.0
Barbour,2019,2400,37300.0,23.0
Barbour,2020,2360,39800.0,23.0
Barbour,2021,2360,39700.0,27.0
Barbour,2022,2350,43800.0,25.0
Barbour,2023,2740,43500.0,26.0
Barbour,2024,3090,46300.0,24.0
Berkeley,2018,2190,57000.0,23.0
Berkeley,2019,2230,59100.0,23.0
Berkeley,2020,2250,59600.0,22.0
Berkeley,2021,2340,63000.0,25.0
Berkeley,2022,2250,67200.0,22.0
Berkeley,2023,2440,70900.0,22.0
Berkeley,2024,2380,70800.0,20.0
Boone,2018,2920,36300.0,25.0
Boone,2019,2540,38600.0,25.0
Boone,2020,2790,38100.0,25.0
Boone,2021,2740,43700.0,28.0
Boone,2022,3580,49100.0,28.0
Boone,2023,3510,41200.0,27.0
Boone,2024,3040,46500.0,25.0
Braxton,2018,1800,36600.0,22.0
Braxton,2019,2070,37800.0,22.0
Braxton,2020,2370,39300.0,23.0
Braxton,2021,2350,39700.0,29.0
Braxton,2022,2330,48000.0,27.0
Braxton,2023,2280,41600.0,28.0
Braxton,2024,2040,43300.0,27.0
Brooke,2018,4670,46000.0,19.0
Brooke,2019,5740,50800.0,19.0
Brooke,2020,4490,48300.0,20.0
Brooke,2021,4440,50900.0,24.0
Brooke,2022,4390,50400.0,24.0
Brooke,2023,3610,52200.0,22.0
Brooke,2024,4430,61600.0,20.0
Cabell,2018,610,39500.0,22.0
Cabell,2019,600,38200.0,22.0
Cabell,2020,630,39800.0,24.0
Cabell,2021,590,42100.0,26.0
Cabell,2022,570,44200.0,24.0
Cabell,2023,580,46900.0,24.0
Cabell,2024,600,51000.0,22.0
Calhoun,2018,2490,33800.0,23.0
Calhoun,2019,2450,33500.0,23.0
Calhoun,2020,2440,36400.0,24.0
Calhoun,2021,2420,37300.0,29.0
Calhoun,2022,2370,41700.0,29.0
Calhoun,2023,2320,38800.0,28.0
Calhoun,2024,1540,43600.0,28.0
Clay,2018,9007,33700.0,24.0
Clay,2019,8860,34300.0,24.0
Clay,2020,8760,36000.0,24.0
Clay,2021,8630,41900.0,31.0
Clay,2022,8510,36500.0,30.0
Clay,2023,8340,38300.0,30.0
Clay,2024,8233,42600.0,27.0
Doddridge,2018,4090,40500.0,23.0
Doddridge,2019,4210,44400.0,23.0
Doddridge,2020,4280,44700.0,21.0
Doddridge,2021,8410,50600.0,26.0
Doddridge,2022,8450,50400.0,26.0
Doddridge,2023,8370,48500.0,26.0
Doddridge,2024,7740,47800.0,24.0
Fayette,2018,2050,38800.0,27.0
Fayette,2019,2110,38100.0,27.0
Fayette,2020,2290,37900.0,25.0
Fayette,2021,2150,41400.0,29.0
Fayette,2022,2120,42000.0,28.0
Fayette,2023,2340,40500.0,27.0
Fayette,2024,2500,48700.0,25.0
Gilmer,2018,2130,35300.0,26.0
Gilmer,2019,2750,35400.0,26.0
Gilmer,2020,2670,38200.0,26.0
Gilmer,2021,2680,40400.0,27.0
Gilmer,2022,2610,41600.0,24.0
Gilmer,2023,2600,40500.0,24.0
Gilmer,2024,2460,44900.0,22.0
Grant,2018,1680,38500.0,21.0
Grant,2019,1960,41000.0,21.0
Grant,2020,1950,42100.0,22.0
Grant,2021,1940,47400.0,27.0
Grant,2022,1650,45600.0,26.0
Grant,2023,1640,47400.0,25.0
Grant,2024,1570,58200.0,23.0
Greenbrier,2018,760,38800.0,23.0
Greenbrier,2019,730,37900.0,23.0
Greenbrier,2020,780,37700.0,23.0
Greenbrier,2021,760,43600.0,26.0
Greenbrier,2022,750,40000.0,25.0
Greenbrier,2023,670,42000.0,24.0
Greenbrier,2024,670,45100.0,23.0
Hampshire,2018,4670,45200.0,22.0
Hampshire,2019,4660,47600.0,22.0
Hampshire,2020,3910,44400.0,22.0
Hampshire,2021,3340,54800.0,28.0
Hampshire,2022,3860,53300.0,26.0
Hampshire,2023,3870,52200.0,25.0
Hampshire,2024,3880,58300.0,24.0
Hancock,2018,1490,44900.0,21.0
Hancock,2019,1740,44600.0,21.0
Hancock,2020,1840,47300.0,22.0
Hancock,2021,1710,51000.0,25.0
Hancock,2022,1600,52300.0,25.0
Hancock,2023,1790,52300.0,24.0
