County,Year,healthcare,income,smoking,copd_age
Barbour,2018,2390,36500.0,23.0,11.8
Barbour,2019,2400,37300.0,23.0,10.4
Barbour,2020,2360,39800.0,23.0,10.7
Barbour,2021,2360,39700.0,27.0,10.7
Berkeley,2018,2190,57000.0,23.0,9.6
Berkeley,2019,2230,59100.0,23.0,8.2
Berkeley,2020,2250,59600.0,22.0,8.3
Berkeley,2021,2340,63000.0,25.0,8.3
Boone,2018,2920,36300.0,25.0,13.1
Boone,2019,2540,38600.0,25.0,11.3
Boone,2020,2790,38100.0,25.0,11.2
Boone,2021,2740,43700.0,28.0,10.6
Braxton,2018,1800,36600.0,22.0,12.6
Braxton,2019,2070,37800.0,22.0,11.0
Braxton,2020,2370,39300.0,23.0,11.7
Braxton,2021,2350,39700.0,29.0,11.8
Brooke,2018,4670,46000.0,19.0,9.9
Brooke,2019,5740,50800.0,19.0,8.7
Brooke,2020,4490,48300.0,20.0,8.8
Brooke,2021,4440,50900.0,24.0,8.5
Cabell,2018,610,39500.0,22.0,11.0
Cabell,2019,600,38200.0,22.0,9.6
Cabell,2020,630,39800.0,24.0,10.4
Cabell,2021,590,42100.0,26.0,10.0
Calhoun,2018,2490,33800.0,23.0,12.7
Calhoun,2019,2450,33500.0,23.0,11.4
Calhoun,2020,2440,36400.0,24.0,11.8
Calhoun,2021,2420,37300.0,29.0,12.4
Clay,2018,9007,33700.0,24.0,13.8
Clay,2019,8860,34300.0,24.0,12.1
Clay,2020,8760,36000.0,24.0,12.9
Clay,2021,8630,41900.0,31.0,12.0
Doddridge,2018,4090,40500.0,23.0,10.7
Doddridge,2019,4210,44400.0,23.0,9.5
Doddridge,2020,4280,44700.0,21.0,10.4
Doddridge,2021,8410,50600.0,26.0,9.9
Fayette,2018,2050,38800.0,27.0,12.2
Fayette,2019,2110,38100.0,27.0,10.6
Fayette,2020,2290,37900.0,25.0,11.3
Fayette,2021,2150,41400.0,29.0,10.7
Gilmer,2018,2130,35300.0,26.0,11.1
Gilmer,2019,2750,35400.0,26.0,9.1
Gilmer,2020,2670,38200.0,26.0,9.5
Gilmer,2021,2680,40400.0,27.0,9.3
Grant,2018,1680,38500.0,21.0,11.6
Grant,2019,1960,41000.0,21.0,10.1
Grant,2020,1950,42100.0,22.0,10.4
Grant,2021,1940,47400.0,27.0,9.9
Greenbrier,2018,760,38800.0,23.0,11.3
Greenbrier,2019,730,37900.0,23.0,9.9
Greenbrier,2020,780,37700.0,23.0,10.4
Greenbrier,2021,760,43600.0,26.0,10.3
Hampshire,2018,4670,45200.0,22.0,11.9
Hampshire,2019,4660,47600.0,22.0,9.8
Hampshire,2020,3910,44400.0,22.0,9.6
Hampshire,2021,3340,54800.0,28.0,9.8
Hancock,2018,1490,44900.0,21.0,10.5
Hancock,2019,1740,44600.0,21.0,9.2
Hancock,2020,1840,47300.0,22.0,9.6
Hancock,2021,1710,51000.0,25.0,8.9
Hardy,2018,3460,40200.0,20.0,10.9
Hardy,2019,4630,44300.0,20.0,9.5
Hardy,2020,6860,43600.0,22.0,10.3
Hardy,2021,6890,46700.0,27.0,10.2
Harrison,2018,870,46500.0,20.0,10.0
Harrison,2019,870,51700.0,20.0,8.9
Harrison,2020,870,47900.0,23.0,9.3
